time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA
1609761600,27.27624,27.28192,27.1944,27.22768,NaN,NaN,27.145775170885212,27.215887066023704,27.260364343486764,575,455.45
1609763400,27.22768,27.2861,27.12147,27.2645,NaN,NaN,27.156568337168373,27.222831770877463,27.261742895657843,689,452
1609765200,27.2645,27.44157,27.20011,27.43506,NaN,NaN,27.18188576106216,27.25315008932354,27.319515263771894,1328,499.1
1609767000,27.43506,27.57073,27.43506,27.45124,NaN,NaN,27.206372510056507,27.281448647991606,27.363423509181263,1240,547.05
1609768800,27.45124,27.51642,27.39516,27.46638,NaN,NaN,27.230009554596826,27.307867412564235,27.397742339454176,1085,592.95
1609770600,27.46638,27.54902,27.33246,27.44872,NaN,NaN,27.24989232236075,27.327989210769346,27.414734892969452,1582,657.5
1609772400,27.44872,27.54236,27.2102,27.32849,NaN,NaN,27.2570375657825,27.32806075208801,27.385986595312968,1847,735.8
1609774200,27.32849,27.39026,27.27756,27.36981,NaN,NaN,27.267289605256817,27.334024930361153,27.380594396875313,1121,752.8
1609776000,27.36981,27.37407,27.11664,27.24109,NaN,NaN,27.264907822960744,27.32074851173813,27.334092931250208,1408,782.2
1609777800,27.24109,27.2692,27.17064,27.17336,NaN,NaN,27.256585293600676,27.299693010061254,27.280515287500137,937,800.3
1609779600,27.17336,27.19372,26.75736,26.99972,NaN,NaN,27.23323390327334,27.256839722909646,27.186916858333426,2183,895.25
1609781400,26.99972,27.05466,26.8929,27.05012,NaN,NaN,27.216587184793948,27.227308333922554,27.141317905555617,1280,943.45
1609783200,27.05012,27.26378,27.04082,27.18872,NaN,NaN,27.214053804358134,27.221795714790762,27.157118603703744,941,945.55
1609785000,27.18872,27.26525,27.13306,27.26525,NaN,NaN,27.21870800396194,27.228003469820653,27.193162402469163,494,938
1609786800,27.26525,27.26525,27.12819,27.18596,NaN,NaN,27.215730912692674,27.221997259846272,27.19076160164611,524,949
1609788600,27.18596,27.26822,27.13488,27.26822,NaN,NaN,27.220502647902432,27.228600508439662,27.21658106776407,371,953.8
1609790400,27.26822,27.30471,27.24216,27.24674,NaN,NaN,27.222887861729482,27.231191864376854,27.22663404517605,463,959.45
1609792200,27.24674,27.30628,27.20409,27.27052,NaN,NaN,27.22721805611771,27.236810169465876,27.241262696784034,448,964.6
1609794000,27.27052,27.27468,27.2095,27.21392,NaN,NaN,27.226009141925193,27.233540145256466,27.23214846452269,131,952
1609795800,27.21392,27.26993,27.21184,27.23348,NaN,NaN,27.226688310841084,27.233531553076972,27.232592309681795,159,940.3
1609801200,27.23348,27.29215,27.14061,27.23666,NaN,NaN,27.22759482803735,27.233978474065974,27.23394820645453,321,927.6
1609803000,27.23666,27.29158,27.15728,27.17797,NaN,NaN,27.223083480033957,27.22597726348512,27.21528880430302,323,909.3
1609804800,27.17797,27.1899,27.11148,27.17714,NaN,NaN,27.21890680003087,27.219000511558676,27.202572536202016,352,860.5
1609806600,27.17714,27.1982,27.07885,27.12612,NaN,27.1700998,27.2104716363917,27.205731867050293,27.177088357468012,400,818.5
1609808400,27.12612,27.20104,26.99046,27.11448,NaN,27.167918631372547,27.201745123992453,27.192695886043108,27.156218904978676,1309,829.7
1609810200,27.11448,27.18422,27.05682,27.099,NaN,27.165215939946172,27.192404658174958,27.179310759465523,27.137145936652452,705,785.85
1609812000,27.099,27.18888,27.09469,27.18686,NaN,27.166064726614948,27.191900598340872,27.180389222399018,27.153717291101636,365,711.75
1609813800,27.18686,27.33896,27.18686,27.31436,NaN,27.17188022753201,27.203033271218974,27.199527904913445,27.207264860734423,680,689.7
1609815600,27.31436,27.45884,27.28546,27.38418,NaN,27.180205708805264,27.219501155653614,27.225906775640095,27.266236573822948,593,648.95
1609817400,27.38418,27.40152,27.32203,27.33528,NaN,27.186287053557997,27.230026505139648,27.241531521977222,27.2892510492153,242,614.2
1609819200,27.33528,27.33997,27.20496,27.21458,NaN,27.18739658086945,27.22862227739968,27.237681304551906,27.264360699476867,338,521.95
1609821000,27.21458,27.27298,27.21458,27.24674,NaN,27.18972377377653,27.23026934309062,27.238975403901634,27.258487132984577,205,468.2
1609822800,27.24674,27.28778,27.24244,27.26184,NaN,27.192551861079412,27.233139402809652,27.24224177477283,27.25960475532305,212,431.75
1609824600,27.26184,27.30646,27.19264,27.27184,NaN,27.195661199860613,27.236657638917865,27.246470092662424,27.263683170215366,516,432.85
1609826400,27.27184,27.29724,27.21533,27.26764,NaN,27.198483897905295,27.239474217198058,27.24949436513922,27.26500211347691,418,427.55
1609828200,27.26764,27.35776,27.25976,27.34485,NaN,27.204223745046264,27.249053833816415,27.26311659869076,27.291618075651275,577,437.85
1609830000,27.34485,27.4006,27.28868,27.38152,NaN,27.211176539358174,27.26109621256038,27.280031370306368,27.321585383767516,448,437.1
1609831800,27.38152,27.38792,27.22744,27.22744,NaN,27.211814322128443,27.258036556873073,27.27251831740546,27.290203589178343,428,436.1
1609833600,27.22744,27.37822,27.22563,27.36201,NaN,27.217704348711642,27.26748868806643,27.285302843490395,27.31413905945223,612,460.15
1609835400,27.36201,27.37499,27.27804,27.36417,NaN,27.22344809974256,27.27627789824221,27.296569580134626,27.330816039634822,453,474.85
1609837200,27.36417,27.47338,27.32786,27.40419,NaN,27.230536017399714,27.28790627112928,27.31194392582968,27.355274026423213,525,485.05
1609839000,27.40419,27.50508,27.36562,27.4003,NaN,27.23719342848208,27.298123882844802,27.324566222139726,27.37028268428214,469,492.35
1609840800,27.4003,27.44046,27.35108,27.39232,NaN,27.243276823443566,27.30668716622255,27.334245333262622,27.377628456188095,399,494.7
1609842600,27.39232,27.47536,27.38116,27.45648,NaN,27.25163773232813,27.32030469656595,27.351707428510817,27.403912304125395,298,489.6
1609844400,27.45648,27.51386,27.44532,27.47198,NaN,27.260278605570164,27.3340933605145,27.368889224437844,27.426601536083595,339,441.1
1609846200,27.47198,27.51612,27.40802,27.50426,NaN,27.26984650339094,27.34956305501318,27.388227906661008,27.452487690722396,481,429.9
1609848000,27.50426,27.52681,27.36274,27.38304,NaN,27.274285464042276,27.352606413648346,27.387486777138008,27.4293384604816,848,454.05
1609849800,27.38304,27.43444,27.31032,27.43444,NaN,27.280566034079833,27.360045830589407,27.394194380404006,27.4310389736544,574,448.75
1609851600,27.43444,27.47934,27.3315,27.38046,NaN,27.284483444508073,27.361901664172187,27.392232326060576,27.414179315769598,1344,486.3
1609853400,27.38046,27.46724,27.30362,27.37266,NaN,27.28794134864501,27.362879694701988,27.389436279480492,27.4003395438464,988,523.6
1609855200,27.37266,27.4559,27.32388,27.3823,NaN,27.291641687913835,27.364645177001808,27.38841681098328,27.394326362564268,916,552.5
1609857000,27.3823,27.41406,27.19862,27.3478,NaN,27.293843974662312,27.36311379727437,27.38261440941424,27.378817575042845,1934,638.95
1609858800,27.3478,27.40964,27.23098,27.38262,NaN,27.297325387420653,27.364887088431246,27.38261520806935,27.380085050028562,1426,699.65
1609860600,27.38262,27.40757,27.31994,27.32002,NaN,27.298215372227688,27.360808262210224,27.373673035488014,27.360063366685708,717,709.7
1609862400,27.32002,27.41598,27.30899,27.40376,NaN,27.302354377238366,27.36471296564566,27.37797117327544,27.374628911123803,608,719.2
1609864200,27.40376,27.4836,27.39234,27.47685,NaN,27.30919734283686,27.374907241496054,27.392096719950377,27.40870260741587,524,716.55
1609866000,27.47685,27.50745,27.4201,27.43975,NaN,27.314317054882473,27.380802037723686,27.39890433138604,27.419051738277247,410,714.65
1609867800,27.43975,27.50174,27.41817,27.49721,NaN,27.321489327240023,27.391384579748806,27.41294799833089,27.445104492184832,272,706.85
1609869600,27.49721,27.53144,27.47772,27.49721,NaN,27.328380334014923,27.401005072498915,27.42498542714076,27.462472994789888,314,691.95
1609871400,27.49721,27.57949,27.4841,27.55786,NaN,27.337379536602572,27.41526461136265,27.443967508977796,27.49426866319326,267,682.65
1609873200,27.55786,27.67076,27.53432,27.66712,NaN,27.35031053516718,27.43816055578423,27.475846436266682,27.551885775462175,385,675.65
1609875000,27.66712,27.69084,27.58595,27.61348,NaN,27.360630906337093,27.454098687076574,27.49550837394287,27.57241718364145,357,670.05
1609876800,27.61348,27.62988,27.52679,27.55668,NaN,27.36831910608858,27.4634242609787,27.504247177665317,27.567171455760967,444,672.3
1609878600,27.55668,27.64226,27.53902,27.60266,NaN,27.3775089450655,27.47608205543518,27.518306152284556,27.579000970507312,359,675.35
1609880400,27.60266,27.65532,27.5276,27.55544,NaN,27.384486633494305,27.483296414031983,27.523610987672477,27.571147313671542,455,681.15
1609882200,27.55544,27.59464,27.5225,27.5561,NaN,27.391216569435706,27.48991492184726,27.52825227514784,27.566131542447696,218,668
1609887600,27.5561,27.6282,27.51772,27.61062,NaN,27.399820625536265,27.500888110770234,27.54001909298386,27.580961028298464,387,644.95
1609889400,27.61062,27.64498,27.57948,27.59284,NaN,27.407390012770136,27.509247373427485,27.547564936843308,27.58492068553231,378,635.15
1609891200,27.59284,27.6166,27.55362,27.57685,NaN,27.414035502465424,27.51539306675226,27.551748517294264,27.58223045702154,367,586.3
1609893000,27.57685,27.62048,27.54304,27.58235,NaN,27.420636070996192,27.521480060683874,27.556120157680798,27.58227030468103,605,567.15
1609894800,27.58235,27.64647,27.41794,27.46158,NaN,27.42224171527085,27.516034600621705,27.542614420869256,27.542040203120685,1488,595.75
1609896600,27.46158,27.50424,27.31919,27.34804,NaN,27.419331844083757,27.50076236420155,27.514818075030792,27.477373468747125,1011,549.6
1609898400,27.34804,27.43692,27.32789,27.40286,NaN,27.418685889413805,27.491862149274134,27.498824064312107,27.452535645831418,576,507.1
1609900200,27.40286,27.42816,27.20608,27.24414,27.2875805,27.411840952574046,27.469341953885575,27.462440626553235,27.38307043055428,706,506.55
1609902000,27.24414,27.37118,27.21802,27.30139,27.287853955445545,27.40750954266918,27.454073594441432,27.439433394188487,27.35584362036952,734,512.85
1609903800,27.30139,27.34942,27.24536,27.24822,27.287069124644642,27.40126289393706,27.435359631310394,27.412117195018702,27.319969080246345,408,507.05
1609905600,27.24822,27.38428,27.20736,27.33438,27.28800597366158,27.398640035351292,27.426179664827632,27.401011881444603,27.32477272016423,675,520.3
