time,open,high,low,close,Plot,Volume,Volume MA
1420149600,1.55774,1.55873,1.554285,1.555335,NaN,2377,NaN
1420164000,1.555335,1.555745,1.554145,1.554735,NaN,1122,NaN
1420178400,1.554735,1.55511,1.54766,1.54795,NaN,4514,NaN
1420192800,1.54795,1.54806,1.54127,1.541695,NaN,4504,NaN
1420207200,1.541695,1.541985,1.53529,1.53589,NaN,5109,NaN
1420221600,1.53589,1.53589,1.532725,1.53278,NaN,1491,NaN
1420408800,1.53278,1.53278,1.51639,1.53031,1.5426707142857143,4367,NaN
1420423200,1.53031,1.53043,1.52778,1.528635,1.5406656122448978,954,NaN
1420437600,1.528635,1.531955,1.52735,1.530615,1.5392298104956268,4086,NaN
1420452000,1.530615,1.53074,1.520525,1.520795,1.5365962661391086,5386,NaN
1420466400,1.520795,1.524665,1.520335,1.522635,1.5346017995478074,3860,NaN
1420480800,1.522635,1.527065,1.522165,1.525055,1.5332379710409776,1733,NaN
1420495200,1.525055,1.5266,1.524675,1.52607,1.532213975177981,1162,NaN
1420509600,1.52607,1.52739,1.525695,1.52613,1.531344835866841,599,NaN
1420524000,1.52613,1.52706,1.51882,1.52024,1.5297584307430063,4440,NaN
1420538400,1.52024,1.520655,1.51679,1.51793,1.5280686549225766,4137,NaN
1420552800,1.51793,1.51977,1.51525,1.51725,1.52652313279078,6390,NaN
1420567200,1.51725,1.519105,1.51417,1.51517,1.5249012566778113,2737,NaN
1420581600,1.51517,1.51517,1.51098,1.514415,1.5234032200095524,4857,NaN
1420596000,1.514415,1.514845,1.513435,1.51385,1.5220384742939022,667,3224.6
1420610400,1.51385,1.51558,1.51154,1.51208,1.520615835109059,3993,3305.4
1420624800,1.51208,1.514365,1.50979,1.510535,1.5191757158077652,6470,3572.8
1420639200,1.510535,1.51061,1.505475,1.50875,1.517686327835227,4451,3569.65
1420653600,1.50875,1.512675,1.50797,1.51118,1.5167568524301946,5093,3599.1
1420668000,1.51118,1.51176,1.509495,1.509685,1.5157465877973095,2437,3465.5
1420682400,1.509685,1.50986,1.50823,1.50874,1.5147456466834082,676,3424.75
1420696800,1.50874,1.50942,1.50345,1.505445,1.5134169828714925,3475,3380.15
1420711200,1.505445,1.508155,1.504465,1.507685,1.5125981281755652,4563,3560.6
1420725600,1.507685,1.511745,1.50576,1.511525,1.5124448241504846,4196,3566.1
1420740000,1.511525,1.511665,1.508015,1.50903,1.5119569921289866,1537,3373.65
1420754400,1.50903,1.510475,1.507745,1.50913,1.51155313611056,2117,3286.5
1420768800,1.50913,1.51013,1.508915,1.50974,1.5112941166661944,773,3238.5
1420783200,1.50974,1.51493,1.508845,1.51314,1.5115578142853094,3719,3366.35
1420797600,1.51314,1.51774,1.50965,1.51206,1.5116295551016938,8196,3746.2
1420812000,1.51206,1.516935,1.510165,1.51414,1.5119881900871661,7087,3878.55
1420826400,1.51414,1.51693,1.51414,1.51576,1.5125270200747138,3377,3840.55
1421013600,1.51576,1.51939,1.51576,1.51714,1.5131860172068976,2601,3651.1
1421028000,1.51714,1.517405,1.516055,1.516665,1.5136830147487694,594,3543.95
1421042400,1.516665,1.51774,1.509895,1.51218,1.513468298356088,3435,3472.85
1421056800,1.51218,1.516915,1.511105,1.51574,1.513792827162361,3804,3629.7
1421071200,1.51574,1.51744,1.512915,1.51645,1.5141724232820237,3870,3623.55
1421085600,1.51645,1.51875,1.516405,1.517065,1.514585648527449,1592,3379.65
1421100000,1.517065,1.51814,1.51583,1.5178,1.5150448415949562,2225,3268.35
1421114400,1.5178,1.51921,1.51561,1.515905,1.5151677213671053,1153,3071.35
1421128800,1.515905,1.516205,1.50776,1.510835,1.5145487611718045,4685,3183.75
1421143200,1.510835,1.51807,1.50891,1.51536,1.5146646524329752,5055,3402.7
1421157600,1.51536,1.51895,1.51427,1.51612,1.5148725592282644,4358,3446.85
1421172000,1.51612,1.516805,1.51448,1.51603,1.515037907909941,2250,3331.2
1421186400,1.51603,1.51757,1.515755,1.5168,1.515289635351378,2601,3251.45
1421200800,1.5168,1.51705,1.51456,1.51637,1.5154439731583242,1191,3234.15
1421215200,1.51637,1.52242,1.514645,1.517355,1.5157169769928494,5917,3424.15
1421229600,1.517355,1.52696,1.51626,1.5257,1.517143123136728,6384,3704.7
1421244000,1.5257,1.526855,1.52019,1.52214,1.517856962688624,5545,3796
1421258400,1.52214,1.52375,1.52106,1.523415,1.5186509680188205,2005,3486.45
1421272800,1.523415,1.52464,1.522955,1.52335,1.5193222583018462,2122,3238.2
1421287200,1.52335,1.52422,1.522685,1.52297,1.519843364258725,825,3110.6
1421301600,1.52297,1.52373,1.51591,1.51911,1.5197385979360498,24859,4223.5
1421316000,1.51911,1.52671,1.518955,1.522835,1.520180941088043,37530,6070.3
1421330400,1.522835,1.523395,1.514985,1.515335,1.5194886637897511,14568,6626.95
1421344800,1.515335,1.519415,1.51508,1.51845,1.519340283248358,7296,6801.55
1421359200,1.51845,1.51957,1.5161,1.51859,1.519233099927164,14183,7317.2
1421373600,1.51859,1.519125,1.51718,1.517365,1.5189662285089975,2561,7365.65
1421388000,1.517365,1.52348,1.516055,1.52245,1.5194639101505696,5060,7507.4
1421402400,1.52245,1.52266,1.516245,1.518195,1.5192826372719168,5717,7735.6
1421416800,1.518195,1.518915,1.507505,1.514835,1.518647260518786,9515,7977.1
1421431200,1.514835,1.517095,1.51304,1.51449,1.5180533661589595,6058,8027.25
1421618400,1.51449,1.51486,1.511575,1.5144,1.5175314567076796,5450,8081.85
1421632800,1.5144,1.514585,1.513295,1.514425,1.517087677178011,719,8005.3
1421647200,1.514425,1.51794,1.511895,1.51645,1.5169965804382952,2947,8022.6
1421661600,1.51645,1.51672,1.513785,1.51431,1.5166127832328244,2834,8104.75
1421676000,1.51431,1.517425,1.512405,1.513435,1.5161588141995637,2806,7949.2
1421690400,1.513435,1.513785,1.51084,1.51118,1.5154475550281974,4777,7868.85
1421704800,1.51118,1.511525,1.505735,1.50729,1.514282190024169,3120,7747.6
1421719200,1.50729,1.508195,1.505975,1.50818,1.513410448592145,899,7692.3
1421733600,1.50818,1.516215,1.50727,1.515815,1.5137539559361242,3139,7743.15
1421748000,1.515815,1.519975,1.513825,1.5198,1.514617676516678,3719,7887.85
1421762400,1.5198,1.51996,1.51484,1.515225,1.5147044370142955,3628,6826.3
1421776800,1.515225,1.516305,1.51426,1.5144,1.5146609460122533,2492,5074.4
1421791200,1.5144,1.51502,1.51358,1.51479,1.514679382296217,1746,4433.3
1421805600,1.51479,1.517495,1.51474,1.51666,1.5149623276824717,1195,4128.25
1421820000,1.51666,1.517995,1.507585,1.51145,1.5144605665849757,6780,3758.1
1421834400,1.51145,1.51353,1.50969,1.512155,1.5141311999299791,4953,3877.7
1421848800,1.512155,1.51467,1.50831,1.51094,1.5136753142256965,10466,4148
1421863200,1.51094,1.51446,1.510035,1.514355,1.5137724121934542,3263,4025.3
1421877600,1.514355,1.51586,1.513295,1.51507,1.5139577818801035,2713,3685.2
1421892000,1.51507,1.51572,1.512645,1.512815,1.513794527325803,1847,3474.65
1421906400,1.512815,1.51773,1.51232,1.515875,1.5140917377078311,3260,3365.15
1421920800,1.515875,1.521295,1.512435,1.516435,1.514426489463855,15730,4115.7
