time,open,high,low,close,Plot,Volume,Volume MA
1635714000,1.36834,1.36876,1.368,1.36849,NaN,106,NaN
1635714900,1.36849,1.36884,1.36832,1.36844,NaN,283,NaN
1635715800,1.36844,1.36896,1.36818,1.36851,NaN,110,NaN
1635716700,1.36851,1.36851,1.36811,1.36832,NaN,17,NaN
1635717600,1.36832,1.36864,1.36792,1.36833,NaN,108,NaN
1635718500,1.36833,1.36848,1.36816,1.36842,NaN,65,NaN
1635719400,1.36842,1.36848,1.36828,1.36845,1.3684228571428572,44,NaN
1635720300,1.36845,1.36866,1.36838,1.36858,1.368445306122449,102,NaN
1635721200,1.36858,1.3687,1.36818,1.36866,1.3684759766763848,162,NaN
1635722100,1.36866,1.36882,1.36847,1.36868,1.3685051228654728,66,NaN
1635723000,1.36868,1.36868,1.36838,1.36842,1.3684929624561195,66,NaN
1635723900,1.36842,1.36868,1.3681,1.36826,1.368459682105245,124,NaN
1635724800,1.36826,1.36879,1.36826,1.36842,1.3684540132330674,187,NaN
1635725700,1.36842,1.36882,1.36816,1.36866,1.3684834399140577,168,NaN
1635726600,1.36866,1.3687,1.36818,1.3684,1.368471519926335,170,NaN
1635727500,1.3684,1.36848,1.3666,1.36748,1.368329874222573,384,NaN
1635728400,1.36748,1.36819,1.3673,1.36806,1.3682913207622054,181,NaN
1635729300,1.36806,1.36811,1.36752,1.3678,1.3682211320818902,149,NaN
1635730200,1.3678,1.36817,1.36736,1.36816,1.3682123989273343,208,NaN
1635731100,1.36816,1.36826,1.36787,1.36816,1.3682049133662864,200,145
1635732000,1.36816,1.36828,1.36794,1.36816,1.3681984971711025,202,149.8
1635732900,1.36816,1.36829,1.36778,1.36826,1.3682072832895165,149,143.1
1635733800,1.36826,1.36859,1.36811,1.36837,1.3682305285338714,134,144.3
1635734700,1.36837,1.36849,1.36813,1.36846,1.36826331017189,125,149.7
1635735600,1.36846,1.36857,1.3681,1.36854,1.3683028372901913,180,153.3
1635736500,1.36854,1.36856,1.36813,1.3682,1.3682881462487355,154,157.75
1635737400,1.3682,1.3685,1.36817,1.3685,1.3683184110703448,90,160.05
1635738300,1.3685,1.3685,1.36787,1.36796,1.368267209488867,73,158.6
1635739200,1.36796,1.36796,1.36766,1.36771,1.3681876081333149,47,152.85
1635740100,1.36771,1.3679,1.36745,1.36748,1.368086521257127,61,152.6
1635741000,1.36748,1.3676,1.3673,1.3675,1.3680027325061086,85,153.55
1635741900,1.3675,1.36758,1.3673,1.36742,1.3679194850052359,100,152.35
1635742800,1.36742,1.36842,1.36742,1.36838,1.3679852728616309,159,150.95
1635743700,1.36838,1.36858,1.36826,1.36842,1.3680473767385408,143,149.7
1635744600,1.36842,1.36872,1.36842,1.36871,1.3681420372044637,117,147.05
1635745500,1.36871,1.36878,1.36838,1.36868,1.3682188890323972,159,135.8
1635746400,1.36868,1.36868,1.36768,1.36778,1.3681561905991977,317,142.6
1635747300,1.36778,1.36792,1.36725,1.3675,1.3680624490850266,310,150.65
1635748200,1.3675,1.36802,1.36718,1.36732,1.3679563849300227,469,163.7
1635749100,1.36732,1.36738,1.36656,1.36664,1.3677683299400196,287,168.05
1635750000,1.36664,1.3668,1.36548,1.36578,1.3674842828057312,504,183.15
1635750900,1.36578,1.36598,1.36526,1.3657,1.3672293852620554,429,197.15
1635751800,1.3657,1.3658,1.36538,1.36574,1.3670166159389048,381,209.5
1635752700,1.36574,1.3658,1.36426,1.36511,1.366744242233347,729,239.7
1635753600,1.36511,1.3669,1.36498,1.36676,1.3667464933428686,946,278
1635754500,1.36676,1.36755,1.36656,1.36736,1.3668341371510302,629,301.75
1635755400,1.36736,1.36783,1.36665,1.36694,1.3668492604151687,456,320.05
1635756300,1.36694,1.36733,1.36572,1.36582,1.3667022232130017,557,344.25
1635757200,1.36582,1.36628,1.36432,1.36512,1.36647619132543,824,383.1
1635758100,1.36512,1.36611,1.36512,1.36604,1.3664138782789401,420,401.05
1635759000,1.36604,1.36686,1.36582,1.36613,1.3663733242390916,445,419.05
1635759900,1.36613,1.36636,1.36566,1.36566,1.3662714207763642,440,436.05
1635760800,1.36566,1.36632,1.36548,1.36588,1.366215503522598,525,454.35
1635761700,1.36588,1.36636,1.3656,1.36585,1.3661632887336554,285,461.45
1635762600,1.36585,1.3659,1.36467,1.36481,1.3659699617717045,326,471.9
1635763500,1.36481,1.36544,1.36418,1.36542,1.3658913958043182,399,483.9
1635764400,1.36542,1.36549,1.36488,1.36502,1.3657669106894155,279,482
1635765300,1.36502,1.36536,1.36474,1.36514,1.3656773520194991,326,482.8
1635766200,1.36514,1.36638,1.36498,1.36604,1.3657291588738563,357,477.2
1635767100,1.36604,1.36774,1.36574,1.36764,1.3660021361775911,522,488.95
1635768000,1.36764,1.36801,1.36714,1.3676,1.3662304024379353,598,493.65
1635768900,1.3676,1.36794,1.36711,1.36788,1.366466059232516,554,499.9
1635769800,1.36788,1.3683,1.36752,1.36808,1.3666966221992993,543,508
1635770700,1.36808,1.36899,1.368,1.36858,1.366965676170828,499,496.5
1635771600,1.36858,1.3693,1.36829,1.36886,1.3672362938607097,593,478.85
1635772500,1.36886,1.36922,1.368,1.368,1.367345394737751,491,471.95
1635773400,1.368,1.3687,1.36744,1.36746,1.3673617669180722,557,477
1635774300,1.36746,1.36786,1.3673,1.36742,1.3673700859297762,560,477.15
1635775200,1.36742,1.36765,1.36662,1.36754,1.3673943593683795,906,481.25
1635776100,1.36754,1.36778,1.36614,1.36707,1.367348022315754,751,497.8
1635777000,1.36707,1.36766,1.36626,1.36736,1.3673497334135032,682,509.65
1635777900,1.36736,1.36834,1.36726,1.36834,1.367491200068717,636,519.45
1635778800,1.36834,1.36896,1.368,1.36872,1.3676667429160432,405,513.45
1635779700,1.36872,1.36926,1.36844,1.36848,1.3677829224994655,564,527.4
1635780600,1.36848,1.36886,1.36829,1.36863,1.3679039335709704,425,532.35
1635781500,1.36863,1.36863,1.36735,1.36782,1.3678919430608318,711,547.95
1635782400,1.36782,1.36791,1.36744,1.36765,1.3678573797664273,373,552.65
1635783300,1.36765,1.36778,1.36696,1.36748,1.3678034683712235,403,556.5
1635784200,1.36748,1.36818,1.36687,1.36706,1.367697258603906,360,556.65
1635785100,1.36706,1.36706,1.36582,1.36602,1.3674576502319196,313,546.2
1635786000,1.36602,1.3664,1.36577,1.36623,1.3672822716273596,244,528.5
1635786900,1.36623,1.36646,1.36567,1.3658,1.3670705185377368,252,513.4
1635787800,1.3658,1.36624,1.36534,1.36536,1.3668261587466313,273,499.9
1635788700,1.36536,1.36601,1.36534,1.36598,1.366705278925684,204,485.15
1635789600,1.36598,1.36617,1.3656,1.36598,1.3666016676505863,297,470.35
1635790500,1.36598,1.366,1.36546,1.3658,1.3664871437005026,306,461.1
1635791400,1.3658,1.36602,1.3656,1.36564,1.3663661231718593,298,448.15
1635792300,1.36564,1.36588,1.36532,1.36584,1.3662909627187365,205,430.4
1635793200,1.36584,1.36612,1.36566,1.36606,1.3662579680446316,206,395.4
1635794100,1.36606,1.36616,1.36592,1.36597,1.3662168297525414,129,364.3
1635795000,1.36597,1.36638,1.36596,1.36628,1.3662258540736067,98,335.1
1635795900,1.36628,1.3663,1.36574,1.36628,1.3662335892059487,157,311.15
1635796800,1.36628,1.36646,1.36602,1.36605,1.3662073621765274,81,294.95
1635797700,1.36605,1.36612,1.3658,1.36612,1.3661948818655951,48,269.15
1635798600,1.36612,1.36612,1.3656,1.36579,1.3661370415990817,55,250.65
1635799500,1.36579,1.36676,1.36576,1.36636,1.3661688927992128,140,222.1
1635800400,1.36636,1.36731,1.36619,1.36673,1.366249050970754,65,206.7
1635801300,1.36673,1.36714,1.36616,1.36714,1.3663763294035032,57,189.4
1635802200,1.36714,1.36721,1.36589,1.36641,1.3663811394887169,67,174.75
1635803100,1.36641,1.36726,1.36622,1.3665,1.3663981195617574,69,162.55
1635804000,1.3665,1.3665,1.36621,1.36642,1.3664012453386492,24,151.55
1635804900,1.36642,1.36646,1.366,1.36604,1.3663496388616994,43,141.1
1635805800,1.36604,1.36613,1.36602,1.3661,1.3663139761671708,23,128.6
1635806700,1.3661,1.36616,1.36598,1.366,1.3662691224290033,20,119.4
1635807600,1.366,1.36614,1.36592,1.36598,1.3662278192248603,59,107.5
1635808500,1.36598,1.36606,1.36588,1.36606,1.3662038450498801,59,95.15
1635809400,1.36606,1.36606,1.3657,1.36586,1.3661547243284686,80,84.25
1635810300,1.36586,1.36588,1.36546,1.36546,1.3660554779958303,59,76.95
1635811200,1.36546,1.36593,1.36532,1.36542,1.3659646954249973,184,75.85
1635812100,1.36542,1.36556,1.365,1.36508,1.3658383103642835,121,75.45
1635813000,1.36508,1.36531,1.36502,1.3653,1.3657614088836714,95,75.3
1635813900,1.3653,1.36558,1.36479,1.36506,1.3656612076145755,151,75
1635814800,1.36506,1.3654,1.36494,1.36518,1.3655924636696362,203,81.1
1635815700,1.36518,1.36547,1.36509,1.36528,1.3655478260025453,183,87.85
1635816600,1.36528,1.36538,1.36484,1.36518,1.365495279430753,238,97
1635817500,1.36518,1.36542,1.36509,1.36518,1.365450239512074,129,96.45
1635818400,1.36518,1.3654,1.36496,1.3652,1.365414491010349,165,101.45
1635819300,1.3652,1.3653,1.36496,1.3652,1.365383849437442,87,102.95
