time,open,high,low,close,Plot,Volume,Volume MA
1578355200,1.31718,1.31772,1.317,1.3173,1.3157949964655113,533,1487.7
1578358800,1.3173,1.31778,1.31704,1.31719,1.315994282684724,408,1492.6
1578362400,1.31719,1.31726,1.31688,1.31696,1.3161322423011919,174,1464.05
1578366000,1.31696,1.31758,1.31688,1.31739,1.31631192197245,238,1364
1578369600,1.31739,1.31756,1.31697,1.31712,1.3164273616906712,368,1219.8
1578373200,1.31712,1.31726,1.31537,1.31546,1.3162891671634325,352,1023.9
1578376800,1.31546,1.3163,1.31481,1.31556,1.3161850004257991,1129,895.4
1578380400,1.31556,1.3162,1.31413,1.3144,1.3159300003649708,1941,877.35
1578384000,1.3144,1.32126,1.31432,1.31881,1.3163414288842605,4651,1036.55
1578387600,1.31881,1.31975,1.31676,1.31732,1.3164812247579376,2840,1103.05
1578391200,1.31732,1.31738,1.31456,1.31608,1.3164239069353751,3287,1173.05
1578394800,1.31608,1.31646,1.31456,1.31473,1.3161819202303218,2051,1174.85
1578398400,1.31473,1.3148,1.31103,1.3121,1.3155987887688474,3706,1287.1
1578402000,1.3121,1.31237,1.31028,1.31184,1.3150618189447265,2867,1369.8
1578405600,1.31184,1.31361,1.31056,1.31067,1.314434416238337,2243,1444.05
1578409200,1.31067,1.3125,1.30951,1.31214,1.3141066424900032,2905,1553.5
1578412800,1.31214,1.31328,1.31066,1.31261,1.3138928364200027,1711,1612.25
1578416400,1.31261,1.31396,1.31222,1.31277,1.3137324312171452,1383,1666.7
1578420000,1.31277,1.31376,1.31247,1.31252,1.3135592267575529,782,1698.95
1578423600,1.31252,1.31272,1.31184,1.31204,1.3133421943636168,1299,1743.4
1578427200,1.31204,1.31235,1.31165,1.31181,1.3131233094545287,643,1748.9
1578430800,1.31181,1.31217,1.31136,1.31212,1.3129799795324533,620,1759.5
1578434400,1.31212,1.31282,1.31127,1.31191,1.3128271253135313,152,1758.4
1578438000,1.31191,1.31195,1.31056,1.3114,1.312623250268741,682,1780.6
1578441600,1.3114,1.312,1.31067,1.31122,1.3124227859446351,1569,1840.65
1578445200,1.31122,1.31212,1.31112,1.31174,1.3123252450954015,1066,1876.35
1578448800,1.31174,1.31404,1.31174,1.31332,1.3124673529389155,1194,1879.6
1578452400,1.31332,1.31398,1.3124,1.31314,1.3125634453762134,962,1830.65
1578456000,1.31314,1.31351,1.31186,1.31212,1.3125000960367543,514,1623.8
1578459600,1.31212,1.31246,1.31166,1.31178,1.312397225174361,664,1515
1578463200,1.31178,1.31343,1.31178,1.31296,1.3124776215780238,701,1385.7
1578466800,1.31296,1.31627,1.31269,1.31526,1.3128751042097346,2625,1414.4
1578470400,1.31526,1.31697,1.31391,1.31662,1.3134100893226297,4098,1434
1578474000,1.31662,1.31696,1.31104,1.312,1.3132086479908254,3073,1444.3
1578477600,1.312,1.31362,1.30918,1.31203,1.3130402697064218,4613,1562.8
1578481200,1.31203,1.31246,1.30988,1.31088,1.3127316597483616,2874,1561.25
1578484800,1.31088,1.312,1.30803,1.3093,1.3122414226414527,3193,1635.35
1578488400,1.3093,1.31252,1.30861,1.31221,1.3122369336926738,2689,1700.65
1578492000,1.31221,1.31393,1.31198,1.31253,1.3122788003080061,2447,1783.9
1578495600,1.31253,1.31339,1.30875,1.31006,1.311961828835434,2630,1850.45
1578499200,1.31006,1.31091,1.30832,1.31091,1.3118115675732291,2891,1962.85
1578502800,1.31091,1.31172,1.31011,1.31052,1.3116270579199107,1865,2025.1
1578506400,1.31052,1.31064,1.30963,1.31033,1.311441763931352,859,2060.45
