time,open,high,low,close,Basis,Upper,Lower
1577833200,1517.37,1517.37,1517.35,1517.35,NaN,NaN,NaN
1577919600,1517.35,1521.37,1517.35,1518.47,NaN,NaN,NaN
1577923200,1518.47,1519.4,1518.19,1518.69,NaN,NaN,NaN
1577926800,1518.69,1521,1517.28,1519.49,NaN,NaN,NaN
1577930400,1519.49,1521,1518.48,1520.69,1518.938,1521.1608774143397,1516.7151225856605
1577934000,1520.69,1521.23,1519.9,1520.41,1519.55,1521.3273688424613,1517.7726311575386
1577937600,1520.41,1520.5,1519.62,1519.62,1519.78,1521.2006477399598,1518.3593522600402
1577941200,1519.62,1520.47,1519.08,1520.34,1520.11,1521.0497020813086,1519.1702979186912
1577944800,1520.34,1521.08,1519.36,1521.08,1520.4279999999999,1521.389116018228,1519.4668839817718
1577948400,1521.08,1521.5,1519.16,1519.25,1520.1399999999999,1521.4234328978432,1518.8565671021565
1577952000,1519.25,1521.07,1518.53,1520.88,1520.234,1521.6452462582245,1518.8227537417754
1577955600,1520.88,1521.47,1519.67,1520.76,1520.462,1521.7671528643227,1519.1568471356773
1577959200,1520.76,1521.5,1519.75,1521.34,1520.662,1522.1276820937323,1519.1963179062677
1577962800,1521.34,1522.53,1521.28,1522.08,1520.862,1522.7213073980881,1519.002692601912
1577966400,1522.08,1523.76,1521.65,1523.21,1521.654,1523.4649710108097,1519.8430289891903
1577970000,1523.21,1529.11,1522.82,1528.16,1523.1100000000001,1528.4187701022588,1517.8012298977415
1577973600,1528.16,1530.66,1525.71,1526.4,1524.238,1529.4662677820777,1519.0097322179224
1577977200,1526.4,1531.45,1525.97,1529.23,1525.8160000000003,1531.3469832759172,1520.2850167240833
1577980800,1529.23,1529.32,1525.33,1525.63,1526.5260000000003,1530.701750950435,1522.3502490495655
1577984400,1525.63,1526.15,1522.84,1525.34,1526.9520000000002,1529.958590095052,1523.9454099049485
1577988000,1525.34,1526.6,1524.98,1526.42,1526.6040000000003,1529.3633796403428,1523.8446203596577
1577991600,1526.42,1527.02,1525.63,1526.84,1526.6920000000002,1529.447805508096,1523.9361944919044
1577995200,1526.84,1528.69,1526.6,1528.43,1526.5320000000002,1528.712693467331,1524.3513065326692
1577998800,1528.43,1529.28,1528.03,1529.04,1527.214,1529.911423956531,1524.5165760434688
1578006000,1529.04,1529.29,1528.04,1528.87,1527.92,1530.0802592430775,1525.7597407569226
1578009600,1528.87,1530.74,1528.87,1530.64,1528.7640000000001,1531.2004104743567,1526.3275895256436
1578013200,1530.64,1535.86,1530.03,1535.03,1530.402,1535.2654045688666,1525.5385954311334
1578016800,1535.03,1541.15,1532.69,1538.34,1532.384,1539.8162174349693,1524.9517825650307
1578020400,1538.34,1540.66,1537.84,1538.73,1534.3220000000001,1542.2898092345126,1526.3541907654876
1578024000,1538.73,1539.73,1537.53,1538.87,1536.3220000000001,1542.66660274539,1529.9773972546102
1578027600,1538.87,1543.95,1538.38,1541.53,1538.5,1542.6412268711754,1534.3587731288246
1578031200,1541.53,1542.71,1541.12,1541.3,1539.7540000000001,1542.4924258247745,1537.0155741752258
1578034800,1541.3,1544.06,1540.27,1543.56,1540.798,1544.421289113545,1537.174710886455
1578038400,1543.56,1545.5,1543.01,1544.38,1541.928,1545.7833733927425,1538.0726266072577
1578042000,1544.38,1550.45,1544.25,1546.95,1543.544,1547.6808316377433,1539.407168362257
1578045600,1546.95,1549.68,1545.44,1548.61,1544.96,1550.096115263528,1539.823884736472
1578049200,1548.61,1551.6,1548.01,1549.46,1546.592,1551.197377725983,1541.9866222740172
1578052800,1549.46,1550.08,1545.48,1546.51,1547.1820000000002,1550.7130145849274,1543.6509854150731
1578056400,1546.51,1547.48,1540.99,1546.38,1547.582,1550.0440446787486,1545.1199553212516
1578060000,1546.38,1548.17,1544.19,1546.15,1547.4220000000003,1550.1201890217906,1544.72381097821
1578063600,1546.15,1551.13,1546.15,1548.96,1547.4920000000004,1550.3246496425816,1544.6593503574193
1578067200,1548.96,1550.58,1547.69,1548.41,1547.2820000000004,1549.6107902432038,1544.953209756797
1578070800,1548.41,1548.96,1547.1,1548.9,1547.7600000000002,1550.2352535218745,1545.284746478126
1578074400,1548.9,1553.58,1548.47,1549.65,1548.4140000000002,1550.8119524598037,1546.0160475401967
1578078000,1549.65,1549.93,1546.32,1547.95,1548.7740000000001,1549.9156899750465,1547.6323100249538
1578081600,1547.95,1549.16,1547.01,1549.16,1548.8140000000003,1549.992378545801,1547.6356214541995
1578085200,1549.16,1552.55,1548.74,1552.39,1549.6100000000001,1552.602283408717,1546.6177165912832
1578265200,1552.39,1588.96,1552.39,1569.25,1553.6800000000003,1569.519020171551,1537.8409798284497
1578268800,1569.26,1570.92,1567.13,1569.58,1557.6660000000004,1577.0715934203595,1538.2604065796413
1578272400,1569.58,1580.09,1568.91,1577.86,1563.6480000000004,1585.6515757092989,1541.6444242907019
1578276000,1577.86,1578.1,1575.35,1577.62,1569.3400000000001,1587.85522616649,1550.8247738335103
1578279600,1577.62,1579.56,1576.92,1578.14,1574.4900000000002,1582.7866017137035,1566.193398286297
1578283200,1578.14,1578.38,1574.99,1576.16,1575.8720000000003,1582.3108620108462,1569.4331379891544
1578286800,1576.16,1577.44,1573.58,1575.02,1576.9600000000003,1579.3334531796506,1574.58654682035
1578290400,1575.02,1577.84,1573.73,1574.45,1576.2780000000005,1579.135422613886,1573.420577386115
1578294000,1574.45,1575.25,1570.26,1574.17,1575.5880000000004,1578.4818942612467,1572.6941057387542
1578297600,1574.17,1576.59,1571.39,1575.77,1575.1140000000005,1576.6280198123113,1573.5999801876897
1578301200,1575.77,1578.1,1574.29,1577.32,1575.3460000000002,1577.6031699084351,1573.0888300915653
1578304800,1577.32,1577.73,1575.15,1577.69,1575.8800000000003,1578.7548286895276,1573.005171310473
1578308400,1577.69,1579.38,1576.2,1578.97,1576.7840000000003,1580.1003739226423,1573.4676260773583
1578312000,1578.97,1579.09,1576.23,1576.72,1577.2940000000003,1579.4140981095354,1575.1739018904652
1578315600,1576.72,1577.74,1571.54,1574.31,1577.0020000000004,1580.0710558797625,1573.9329441202383
1578319200,1574.31,1576.73,1572.66,1572.98,1576.1340000000005,1580.5232705534063,1571.7447294465946
1578322800,1572.98,1574.24,1561,1564.3,1573.4560000000006,1583.489787719051,1563.4222122809501
1578326400,1564.3,1565.79,1560.91,1564.8,1570.6220000000005,1580.8282913926341,1560.415708607367
1578330000,1564.8,1565.4,1562.17,1564.59,1568.1960000000004,1577.1394901461404,1559.2525098538604
1578333600,1564.59,1568.58,1563.96,1566.65,1566.6640000000004,1573.1912671151704,1560.1367328848305
1578337200,1566.65,1567.78,1563.07,1564.89,1565.0460000000005,1566.7005984382909,1563.3914015617102
1578340800,1564.89,1566.88,1564.37,1565.66,1565.3180000000004,1566.833963057664,1563.8020369423368
1578344400,1565.66,1566.81,1565.29,1565.95,1565.5480000000005,1567.028345903348,1564.0676540966529
1578351600,1565.95,1565.95,1563.62,1563.78,1565.3860000000004,1567.3488795158494,1563.4231204841515
1578355200,1563.78,1565.68,1562.67,1564.36,1564.9280000000003,1566.5335603366682,1563.3224396633325
1578358800,1564.36,1564.68,1556.61,1557.94,1563.5380000000002,1569.3615714123807,1557.7144285876198
1578362400,1557.94,1560.99,1555.37,1559.08,1562.2220000000002,1568.4896362366032,1555.9543637633972
1578366000,1559.08,1560.04,1558.43,1559.13,1560.8580000000004,1566.1844682475394,1555.5315317524614
1578369600,1559.13,1559.9,1558.05,1559.31,1559.9640000000004,1564.4652105029315,1555.4627894970693
1578373200,1559.31,1563.06,1559.11,1562.56,1559.6040000000005,1562.7143080219478,1556.4936919780532
1578376800,1562.56,1569.39,1562.45,1564.86,1560.9880000000005,1565.6674768928465,1556.3085231071545
1578380400,1564.86,1570.85,1564.65,1569.8,1563.1320000000005,1571.0515494814722,1555.2124505185288
1578384000,1569.8,1570.55,1564.63,1564.94,1564.2940000000006,1571.1584428751946,1557.4295571248065
1578387600,1564.94,1566.92,1563.31,1566.29,1565.6900000000005,1570.4481845264909,1560.9318154735101
1578391200,1566.29,1567.24,1565.2,1565.73,1566.3240000000008,1569.9566651351026,1562.6913348648989
1578394800,1565.73,1568.94,1565.55,1567.7,1566.8920000000007,1570.3133774982987,1563.4706225017028
1578398400,1567.7,1569.65,1563.92,1565.23,1565.9780000000005,1567.9296311096487,1564.0263688903524
1578402000,1565.23,1568.35,1564.74,1568.23,1566.6360000000009,1568.9321393653413,1564.3398606346605
1578405600,1568.23,1571.73,1566.31,1569.15,1567.2080000000008,1570.1952904085397,1564.2207095914619
1578409200,1569.15,1571.47,1565.68,1568.66,1567.7940000000006,1570.5306724297996,1565.0573275702016
1578412800,1568.66,1571.86,1568.46,1571.18,1568.4900000000007,1572.326227311843,1564.6537726881584
1578416400,1571.18,1573.23,1570.96,1571.96,1569.8360000000007,1572.7686465842132,1566.9033534157882
1578420000,1571.96,1573.2,1570.79,1572.48,1570.6860000000008,1573.7256736644135,1567.6463263355881
1578423600,1572.48,1573.17,1569.67,1571.33,1571.1220000000008,1573.7532704129833,1568.4907295870182
1578427200,1571.33,1572.08,1569.79,1571.8,1571.7500000000005,1572.6798601991873,1570.8201398008136
1578430800,1571.8,1577.43,1571.58,1574.34,1572.3820000000005,1574.4732924206362,1570.2907075793648
1578438000,1574.34,1598.51,1573.75,1595.14,1577.0180000000005,1595.255387531966,1558.7806124680349
1578441600,1595.14,1611.49,1592.69,1599.04,1582.3300000000004,1606.6452824369671,1558.0147175630336
1578445200,1599.04,1605.32,1590.65,1593.55,1586.7740000000006,1609.4928718027086,1564.0551281972926
1578448800,1593.55,1594.57,1583.73,1585.58,1589.5300000000002,1607.0665036421578,1571.9934963578426
1578452400,1585.58,1594,1585.09,1590.85,1592.8320000000003,1601.8164968690073,1583.8475031309933
1578456000,1590.85,1593.77,1589.34,1593.24,1592.4520000000005,1601.1706732928646,1583.7333267071363
1578459600,1593.24,1595.36,1591.35,1594.56,1591.5560000000005,1598.008715396438,1585.103284603563
1578463200,1594.56,1595.24,1592.13,1593.2,1591.4860000000003,1597.857757684398,1585.1142423156027
1578466800,1593.2,1593.45,1585.95,1588.67,1592.1040000000005,1596.2885926907368,1587.9194073092642
1578470400,1588.67,1589.04,1580.09,1581.05,1590.1440000000002,1600.0757237170674,1580.212276282933
1578474000,1581.05,1585.77,1579.31,1583.77,1588.2500000000005,1598.696258659886,1577.8037413401148
1578477600,1583.77,1584.88,1579.07,1580.79,1585.4960000000003,1595.0591927717687,1575.932807228232
1578481200,1580.79,1582.66,1575.5,1577.29,1582.3140000000003,1589.8865567670462,1574.7414432329545
1578484800,1577.29,1580.2,1573.61,1575.41,1579.6620000000003,1585.580140247586,1573.7438597524144
1578488400,1575.41,1577.62,1568.16,1576.83,1578.8180000000004,1584.9048698022425,1572.7311301977584
1578492000,1576.83,1578.38,1571.15,1573.57,1576.7780000000002,1581.5549178337499,1572.0010821662506
1578495600,1573.57,1575.03,1570.05,1573.71,1575.3620000000003,1578.4363948981124,1572.2876051018882
1578499200,1573.71,1573.71,1552.77,1559.09,1571.7220000000002,1584.5789881383291,1558.8650118616713
1578502800,1559.09,1562.25,1557.12,1562.05,1569.0500000000002,1583.2168909782135,1554.8831090217868
1578506400,1562.05,1562.38,1556.09,1556.11,1564.9060000000002,1579.6553056105063,1550.156694389494
1578510000,1556.11,1556.21,1552.31,1554.15,1561.0220000000002,1574.7952169079008,1547.2487830920995
1578513600,1554.15,1562.22,1553.26,1560,1558.2800000000002,1563.9080156353557,1552.6519843646447
1578517200,1560,1560.9,1554.7,1556.45,1557.7520000000002,1563.4715859982643,1552.032414001736
1578524400,1556.45,1560.37,1554.89,1558.14,1556.9700000000003,1560.9209188794496,1553.019081120551
1578528000,1558.14,1558.69,1553.91,1556.73,1557.0940000000003,1560.9673262181602,1553.2206737818403
1578531600,1556.73,1561.38,1556.05,1559.76,1558.2160000000001,1561.1688724988842,1555.263127501116
1578535200,1559.76,1560.93,1559.03,1560.63,1558.3420000000003,1561.6240335148116,1555.059966485189
1578538800,1560.63,1560.66,1556.5,1558.99,1558.8500000000004,1561.5354571289329,1556.1645428710679
1578542400,1558.99,1559.52,1558.14,1558.43,1558.9080000000004,1561.5416408243839,1556.2743591756168
1578546000,1558.43,1559.2,1555.12,1555.44,1558.6500000000003,1562.1850360662888,1555.1149639337118
1578549600,1555.44,1555.97,1540.28,1544.24,1555.5460000000007,1567.339643032878,1543.7523569671234
1578553200,1544.24,1547.48,1544.13,1545.54,1552.5280000000007,1565.2588720826643,1539.797127917337
1578556800,1545.54,1548.71,1544.66,1547.43,1550.2160000000008,1561.533219445817,1538.8987805541847
1578560400,1547.43,1547.89,1545,1546.44,1547.8180000000007,1555.7242345011286,1539.9117654988727
1578564000,1546.44,1548.31,1545.61,1547.53,1546.2360000000006,1548.7034067336135,1543.7685932663876
1578567600,1547.53,1549.44,1547.28,1548.49,1547.0860000000005,1549.1047362359493,1545.0672637640516
1578571200,1548.49,1556.68,1546.52,1554.81,1548.9400000000005,1554.9518283400612,1542.9281716599398
1578574800,1554.81,1554.88,1548.83,1549.9,1549.4340000000007,1555.2717338060054,1543.596266193996
1578578400,1549.9,1552.73,1547.8,1551.81,1550.5080000000007,1555.6858667410374,1545.330133258964
1578582000,1551.81,1552.65,1544.91,1546.88,1550.3780000000008,1555.871434625533,1544.8845653744686
1578585600,1546.88,1550.26,1546.72,1549.59,1550.5980000000006,1555.8543622390757,1545.3416377609256
1578589200,1549.59,1552.29,1549.26,1549.37,1549.5100000000007,1552.6576975694386,1546.3623024305627
1578592800,1549.37,1555.18,1549.36,1552.89,1550.1080000000009,1554.2907531588075,1545.9252468411942
1578596400,1552.89,1554.54,1552.34,1552.74,1550.2940000000008,1554.8306877771743,1545.7573122228273
1578600000,1552.74,1553.11,1549.8,1550.84,1551.0860000000007,1554.0837751729914,1548.08822482701
1578603600,1550.84,1552.65,1550.83,1552.52,1551.6720000000007,1554.4047173266222,1548.9392826733792
