time,open,high,low,close,Basis,Upper,Lower
1420070400,1184.08,1184.08,1184.08,1184.08,NaN,NaN,NaN
1420084800,1184.08,1184.08,1184.08,1184.08,NaN,NaN,NaN
1420099200,1184.08,1184.08,1184.08,1184.08,NaN,NaN,NaN
1420113600,1184.08,1184.08,1184.08,1184.08,NaN,NaN,NaN
1420128000,1184.08,1184.08,1184.08,1184.08,1184.08,1184.08,1184.08
1420142400,1184.08,1187.48,1183.99,1186.71,1184.606,1186.709999999922,1182.502000000078
1420156800,1186.71,1188.23,1184.16,1186.1,1185.0099999999998,1187.3204631573235,1182.699536842676
1420171200,1186.1,1187.37,1184.41,1185.77,1185.348,1187.5047160221131,1183.1912839778868
1420185600,1185.77,1187.91,1180.53,1182.63,1185.058,1188.047779924933,1182.068220075067
1420200000,1182.63,1194.28,1167.02,1187.82,1185.806,1189.2756535849794,1182.3363464150207
1420214400,1187.82,1194.93,1182.12,1185.1,1185.484,1188.8557556257533,1182.1122443742465
1420228800,1185.1,1189.09,1177.39,1183.85,1185.034,1188.554104543628,1181.5138954563722
1420416000,1183.85,1194.21,1182.85,1192.83,1186.446,1193.6989232726987,1179.193076727301
1420430400,1192.83,1197.66,1191.04,1195.6,1189.0399999999997,1198.0442567711884,1180.035743228811
1420444800,1195.6,1197.29,1186.87,1189.03,1189.2819999999997,1198.2067825744687,1180.3572174255307
1420459200,1189.03,1202.45,1186.67,1198.66,1191.994,1202.318639267292,1181.669360732708
1420473600,1198.66,1204.34,1194.33,1203.85,1195.994,1206.0930185661628,1185.894981433837
1420488000,1203.85,1207.32,1202.37,1203.2,1198.0679999999998,1208.945348206308,1187.1906517936916
1420502400,1203.2,1205.75,1201.55,1205.54,1200.056,1211.9849536841416,1188.1270463158585
1420516800,1205.54,1211.75,1205.13,1208.58,1203.966,1210.4479947546965,1197.4840052453033
1420531200,1208.58,1214.18,1206.56,1209.98,1206.23,1211.5144223902773,1200.9455776097227
1420545600,1209.98,1213.9,1205.36,1208.75,1207.21,1212.1730958079538,1202.2469041920463
1420560000,1208.75,1222.96,1207.11,1217.22,1210.014,1217.790802427643,1202.2371975723568
1420574400,1217.22,1219.71,1215.92,1216.07,1212.1200000000001,1219.6076217850832,1204.632378214917
1420588800,1216.07,1218.52,1214.05,1214.13,1213.2300000000002,1219.889044976249,1206.5709550237516
1420603200,1214.13,1215.33,1211.93,1214.06,1214.0460000000003,1219.8581059863245,1208.233894013676
1420617600,1214.06,1218.1,1210.88,1213.37,1214.9700000000003,1217.8497499885407,1212.0902500114598
1420632000,1213.37,1216.26,1208.9,1214.39,1214.4040000000002,1216.20140256956,1212.6065974304404
1420646400,1214.39,1216.43,1209.36,1215.62,1214.3140000000003,1215.783944215418,1212.8440557845827
1420660800,1215.62,1216.56,1209.77,1212.3,1213.9480000000003,1216.1486326353813,1211.7473673646193
1420675200,1212.3,1214.12,1206.5,1207.36,1212.6080000000002,1218.2976172101082,1206.9183827898921
1420689600,1207.36,1210.11,1204.72,1208.43,1211.6200000000003,1218.0982096288394,1205.1417903711613
1420704000,1208.43,1208.81,1204.58,1206.7,1210.082,1216.844560461676,1203.319439538324
1420718400,1206.7,1216.51,1205.59,1212.46,1209.45,1214.3615048609117,1204.5384951390884
1420732800,1212.46,1215.14,1206.58,1207.55,1208.5000000000002,1212.6113112261285,1204.388688773872
1420747200,1207.55,1208.96,1206.24,1208.06,1208.64,1212.6324528798689,1204.6475471201313
1420761600,1208.06,1212.91,1207.88,1210.97,1209.1480000000001,1213.531521871525,1204.7644781284753
1420776000,1210.97,1214.16,1210.7,1211.29,1210.0660000000003,1213.902761133686,1206.2292388663145
1420790400,1211.29,1212.33,1209.33,1211.93,1209.9600000000005,1213.547533971237,1206.372466028764
1420804800,1211.93,1220.75,1207.09,1217.9,1212.0300000000002,1218.4735393998321,1205.5864606001683
1420819200,1217.9,1221.28,1215.28,1220.04,1214.4260000000004,1221.9940443970759,1206.857955602925
1420833600,1220.04,1226.27,1218.41,1225.47,1217.3260000000005,1227.892744815441,1206.75925518456
1421020800,1225.47,1228.05,1222.25,1225.07,1220.0820000000003,1230.0871458758434,1210.0768541241573
1421035200,1225.07,1231.02,1224.09,1227.95,1223.2860000000003,1230.7291670676937,1215.842832932307
1421049600,1227.95,1228.07,1217.48,1219.44,1223.5940000000003,1230.2006221322777,1216.987377867723
1421064000,1219.44,1227.82,1218.21,1225.68,1224.7220000000002,1230.3730445050467,1219.0709554949538
1421078400,1225.68,1235.77,1225.07,1233.32,1226.2920000000001,1235.2790787244162,1217.304921275584
1421092800,1233.32,1234.73,1230.63,1231.23,1227.5240000000001,1237.168103690781,1217.8798963092192
1421107200,1231.23,1240.62,1230.57,1236.44,1229.2220000000002,1241.260554065899,1217.1834459341014
1421121600,1236.44,1239.49,1233.37,1239.49,1233.2320000000002,1242.6342244175248,1223.8297755824756
1421136000,1239.49,1244.08,1236.81,1238.25,1235.746,1241.8810742456474,1229.6109257543528
1421150400,1238.25,1242.77,1231.45,1235.34,1236.15,1241.8429570522112,1230.457042947789
1421164800,1235.34,1240.63,1227.16,1233.68,1236.6400000000003,1240.7588542091003,1232.5211457909004
1421179200,1233.68,1233.72,1229.85,1232.96,1235.9440000000002,1241.0262451729361,1230.8617548270643
1421193600,1232.96,1234.44,1224.93,1227.68,1233.582,1240.5166019351725,1226.6473980648277
1421208000,1227.68,1232.9,1225.61,1229.64,1231.8600000000001,1237.4481016453751,1226.2718983546251
1421222400,1229.64,1231.16,1225.18,1228.06,1230.404,1235.3649289453651,1225.4430710546349
1421236800,1228.06,1244.26,1226.87,1238.41,1231.3500000000001,1239.3326211233593,1223.367378876641
1421251200,1238.41,1239.87,1227.63,1232.87,1231.3319999999999,1239.3004116360642,1223.3635883639356
1421265600,1232.87,1233.18,1227.94,1230.86,1231.968,1239.1364129344768,1224.7995870655234
1421280000,1230.86,1232.21,1226.95,1230.54,1232.1480000000001,1239.1159425943476,1225.1800574056526
1421294400,1230.54,1232.12,1225.92,1228.57,1232.2500000000002,1238.9866816755437,1225.5133183244568
1421308800,1228.57,1260.77,1226.79,1255.82,1235.732,1256.004272294936,1215.4597277050639
1421323200,1255.82,1263.9,1248.88,1259.1,1240.978,1268.01835621065,1213.9376437893502
1421337600,1259.1,1266.58,1256.92,1258.09,1246.4240000000002,1274.080870683377,1218.7671293166234
1421352000,1258.09,1263.67,1255.76,1261.83,1252.6820000000002,1277.1009873663168,1228.2630126336837
1421366400,1261.83,1263.59,1258.02,1259.47,1258.862,1262.7694370114925,1254.9545629885076
1421380800,1259.47,1261.17,1256.21,1257.34,1259.166,1262.2235441125126,1256.1084558874873
1421395200,1257.34,1261.17,1254.9,1259.3,1259.2060000000001,1262.2642766385259,1256.1477233614744
1421409600,1259.3,1278.51,1259.3,1272.23,1262.034,1272.6201237475245,1251.4478762524757
1421424000,1272.23,1281.88,1271.43,1276.67,1265.0020000000002,1280.7553051769305,1249.2486948230699
1421438400,1276.67,1281.47,1273.72,1278.61,1268.8300000000004,1286.5277964728846,1251.1322035271162
1421625600,1278.61,1279.07,1275.02,1276.25,1272.612,1286.555706250448,1258.668293749552
1421640000,1276.25,1277.33,1274.43,1274.83,1275.718,1279.9613647024921,1271.474635297508
1421654400,1274.83,1278.43,1274.33,1277.61,1276.794,1279.3446579539454,1274.2433420460547
1421668800,1277.61,1278.74,1271.97,1272.42,1275.944,1280.2924544381206,1271.5955455618794
1421683200,1272.42,1277.53,1272.17,1276.68,1275.558,1279.1719153283732,1271.9440846716268
1421697600,1276.68,1276.68,1275.37,1275.5,1275.408,1278.9562367452947,1271.859763254705
1421712000,1275.5,1278.42,1273.94,1276.52,1275.7459999999999,1279.3313836616455,1272.1606163383542
1421726400,1276.52,1280.82,1275.13,1279.85,1276.194,1280.9633622215104,1271.4246377784896
1421740800,1279.85,1293.98,1278.53,1285.86,1278.882,1286.4448185221763,1271.3191814778238
1421755200,1285.86,1293.12,1284.78,1291.87,1281.92,1294.2224355311494,1269.6175644688508
1421769600,1291.87,1296.97,1286.15,1293.17,1285.4540000000002,1298.4797504965181,1272.4282495034822
1421784000,1293.17,1295.37,1291.94,1292.01,1288.552,1298.6421726447309,1278.461827355269
1421798400,1292.01,1297.81,1290.42,1296.18,1291.818,1298.5346825144993,1285.1013174855007
1421812800,1296.18,1303.35,1295.05,1298.48,1294.3419999999999,1299.5129867532012,1289.1710132467986
1421827200,1298.48,1303.28,1296.13,1297.76,1295.5199999999998,1300.584180091956,1290.4558199080436
1421841600,1297.76,1305.2,1284.51,1289.86,1294.8579999999997,1301.5739082782907,1288.1420917217088
1421856000,1289.86,1295.65,1286.25,1292.66,1294.9879999999998,1301.5004422454772,1288.4755577545225
1421870400,1292.66,1294.89,1290.92,1291.84,1294.1200000000001,1300.9162813359962,1287.323718664004
1421884800,1291.84,1293.18,1288.82,1292.59,1292.942,1298.1672984603229,1287.7167015396772
1421899200,1292.59,1293.6,1283.25,1286.06,1290.602,1295.5739597744691,1285.630040225531
1421913600,1286.06,1289.48,1283.99,1287.11,1290.0520000000001,1295.7813266618218,1284.3226733381784
1421928000,1287.11,1303.77,1279.49,1299.16,1291.352,1300.6787563492442,1282.025243650756
1421942400,1299.16,1307.59,1298.88,1303.61,1293.7060000000001,1307.3015675128568,1280.1104324871435
1421956800,1303.61,1305.96,1300.51,1300.8,1295.348,1309.9534203636695,1280.7425796363304
1421971200,1300.8,1301.81,1297.49,1297.65,1297.6660000000002,1308.937717526542,1286.3942824734584
1421985600,1297.65,1298.12,1292.51,1293.9,1299.0240000000001,1305.4953102227753,1292.552689777225
1422000000,1293.9,1296.85,1292.66,1295.86,1298.3640000000003,1305.3015338555572,1291.4264661444433
1422014400,1295.86,1299.58,1284.27,1290.7,1295.7820000000002,1302.5963660012103,1288.96763399879
1422028800,1290.7,1294.03,1288.59,1291.01,1293.824,1299.225282810631,1288.4227171893692
1422043200,1291.01,1297.95,1290.1,1296.81,1293.6560000000002,1298.604059821641,1288.7079401783594
1422230400,1296.81,1299.1,1292.94,1294.5,1293.7760000000003,1298.7707908861714,1288.7812091138292
1422244800,1294.5,1294.96,1286.86,1288.86,1292.376,1298.1177014900013,1286.6342985099986
