time,open,high,low,close
1609714800,1898.391,1911.849,1898.391,1910.898
1609716600,1910.898,1915.046,1909.724,1913.248
1609718400,1913.248,1913.603,1910.138,1911.177
1609720200,1911.177,1913.773,1910.523,1913.555
1609722000,1913.555,1917.02,1912.426,1915.062
1609723800,1915.062,1918.835,1913.416,1916.792
1609725600,1916.792,1919.208,1915.698,1918.494
1609727400,1918.494,1921.884,1918.128,1921.77
1609729200,1921.77,1923.706,1920.912,1923.26
1609731000,1923.26,1925.354,1921.958,1923.272
1609732800,1923.272,1923.798,1921.359,1922.106
1609734600,1922.106,1922.986,1920.432,1922.749
1609736400,1922.749,1923.03,1919.132,1920.728
1609738200,1920.728,1921.938,1919.117,1921.791
1609740000,1921.791,1925.605,1921.564,1924.414
1609741800,1924.414,1925.351,1922.85,1923.072
1609743600,1923.072,1924.546,1922.508,1924.088
1609745400,1924.088,1925.512,1923.071,1924.89
1609747200,1924.89,1935.262,1924.682,1935.017
1609749000,1935.017,1935.018,1931.44,1932.223
1609750800,1932.223,1933.984,1930.706,1932.33
1609752600,1932.33,1933.105,1931.04,1932.362
1609754400,1932.362,1932.71,1928.083,1929.185
1609756200,1929.185,1934.606,1928.68,1933.61
1609758000,1933.61,1936.521,1933.564,1935.458
1609759800,1935.458,1936.574,1932.49,1933.64
1609761600,1933.64,1934.893,1931.72,1933.461
1609763400,1933.461,1934.375,1930.21,1932.056
1609765200,1932.056,1938.492,1929.916,1937.104
1609767000,1937.104,1942.217,1937.104,1939.942
1609768800,1939.942,1941.789,1937.484,1940.132
1609770600,1940.132,1943.794,1936.722,1941.498
1609772400,1941.498,1944.518,1929.416,1934.668
1609774200,1934.668,1943.674,1934.192,1943.036
1609776000,1943.036,1943.695,1937.451,1941.63
1609777800,1941.63,1942.16,1939.154,1940.11
1609779600,1940.11,1941.675,1932.766,1937.818
1609781400,1937.818,1937.996,1933.485,1937.168
1609783200,1937.168,1942.836,1936.41,1942.161
1609785000,1942.161,1943.798,1940.644,1943.756
1609786800,1943.756,1943.805,1939.392,1940.652
1609788600,1940.652,1942.686,1939.84,1942.594
1609790400,1942.594,1942.766,1941.06,1941.762
1609792200,1941.762,1944.254,1941.28,1943.827
1609794000,1943.827,1944.066,1941.881,1942.311
1609795800,1942.311,1943.738,1942.311,1942.887
1609801200,1942.887,1945.738,1941.222,1944.528
1609803000,1944.528,1945.442,1940.59,1941.896
1609804800,1941.896,1941.896,1939.216,1940.004
1609806600,1940.004,1941.183,1937.93,1938.661
1609808400,1938.661,1939.778,1935.892,1938.4
1609810200,1938.4,1939.324,1934.443,1937.523
1609812000,1937.523,1938.854,1936.875,1938.816
1609813800,1938.816,1940.204,1937.11,1939.482
1609815600,1939.482,1944.024,1939.268,1941.928
1609817400,1941.928,1942.702,1940.551,1941.214
1609819200,1941.214,1941.93,1936.781,1938.558
1609821000,1938.558,1940.74,1938.452,1939.737
