time,open,high,low,close
1635717600,1783.35,1783.75,1782.04,1782.34
1635718500,1782.34,1782.68,1781.185,1781.666
1635719400,1781.666,1781.72,1781.09,1781.305
1635720300,1781.305,1781.305,1780.405,1780.715
1635721200,1780.715,1781.07,1780.41,1780.78
1635722100,1780.78,1781.3,1780.57,1780.61
1635723000,1780.61,1780.61,1779.445,1780.17
1635723900,1780.17,1780.57,1779.17,1780.145
1635724800,1780.145,1782.534,1780.095,1781.615
1635725700,1781.615,1782.125,1780.71,1781.446
1635726600,1781.446,1782.815,1781.08,1782.385
1635727500,1782.385,1782.426,1781.44,1781.69
1635728400,1781.69,1783.116,1780.345,1781.87
1635729300,1781.87,1783.05,1780.74,1782.72
1635730200,1782.72,1783.675,1781.966,1783.64
1635731100,1783.64,1784.88,1783.264,1784.665
1635732000,1784.665,1786.24,1784.625,1786.195
1635732900,1786.195,1786.665,1785.49,1785.865
1635733800,1785.865,1787.43,1785.666,1787.33
1635734700,1787.33,1787.34,1785.75,1785.845
1635735600,1785.845,1786.446,1785.775,1786.105
1635736500,1786.105,1786.15,1784.505,1784.615
1635737400,1784.615,1785.13,1784.28,1784.28
1635738300,1784.28,1784.545,1783.945,1784.486
1635739200,1784.486,1784.6,1783.845,1784.43
1635740100,1784.43,1784.63,1784.195,1784.43
1635741000,1784.43,1784.48,1783.66,1783.79
1635741900,1783.79,1784.17,1783.62,1783.835
1635742800,1783.835,1784.935,1783.555,1784.805
1635743700,1784.805,1785.265,1784,1784.09
1635744600,1784.09,1786.15,1784.01,1785.986
1635745500,1785.986,1786.876,1785.74,1786.815
1635746400,1786.815,1787.82,1785.205,1785.205
1635747300,1785.205,1785.535,1782.745,1783.115
1635748200,1783.115,1784.165,1782.56,1783.32
1635749100,1783.32,1784.135,1782.475,1782.515
1635750000,1782.515,1784.145,1782.055,1783.9
1635750900,1783.9,1785.18,1783.59,1784.665
1635751800,1784.665,1785.165,1784.22,1784.85
1635752700,1784.85,1785.7,1781.29,1781.715
1635753600,1781.715,1783.784,1781.434,1782.666
1635754500,1782.666,1783.22,1781.085,1783.01
1635755400,1783.01,1783.905,1782.34,1783.25
1635756300,1783.25,1784.47,1782.86,1784.2
1635757200,1784.2,1784.81,1783.646,1784.3
1635758100,1784.3,1785.205,1783.825,1785.055
1635759000,1785.055,1786.93,1784.955,1786.23
1635759900,1786.23,1786.585,1785.6,1785.97
1635760800,1785.97,1788.195,1785.97,1786.895
1635761700,1786.895,1787.575,1786.376,1786.45
1635762600,1786.45,1786.85,1785.665,1786.21
1635763500,1786.21,1787.045,1785.94,1786.605
1635764400,1786.605,1787.176,1783.805,1783.85
1635765300,1783.85,1784.175,1782.66,1783.4
1635766200,1783.4,1786.205,1782.93,1786.195
1635767100,1786.195,1787.54,1785.375,1786.635
1635768000,1786.635,1787.58,1785.89,1786.895
1635768900,1786.895,1790.725,1786.36,1788.19
1635769800,1788.19,1790.325,1787.806,1789.415
1635770700,1789.415,1790.76,1788.28,1789.3
1635771600,1789.3,1789.63,1787.215,1789.2
1635772500,1789.2,1791.53,1788.034,1790.845
1635773400,1790.845,1791.135,1785.7,1788.22
1635774300,1788.22,1792.28,1787.835,1792.25
1635775200,1792.25,1794.53,1790.09,1792.296
1635776100,1792.296,1795.84,1791.57,1794.075
1635777000,1794.075,1795.735,1793.565,1793.7
1635777900,1793.7,1794.515,1792.12,1794.025
1635778800,1794.025,1794.296,1791.824,1792.155
1635779700,1792.155,1792.56,1790.4,1791.495
1635780600,1791.495,1791.905,1790.615,1791.765
1635781500,1791.765,1793.23,1791.09,1793.105
1635782400,1793.105,1793.105,1789.885,1790.305
1635783300,1790.305,1792.12,1789.846,1792.06
1635784200,1792.06,1792.826,1790.94,1791.11
1635785100,1791.11,1792.06,1790.456,1792.015
1635786000,1792.015,1793,1792.015,1792.83
1635786900,1792.83,1794.705,1792.83,1794.635
1635787800,1794.635,1795.125,1793.195,1793.276
1635788700,1793.276,1793.835,1793.155,1793.656
1635789600,1793.656,1794.7,1793.485,1794.64
1635790500,1794.64,1794.87,1793.745,1794.27
1635791400,1794.27,1794.415,1793.515,1793.57
1635792300,1793.57,1794.025,1792.65,1792.8
1635793200,1792.8,1792.855,1791.445,1791.495
1635794100,1791.495,1791.96,1791.215,1791.64
1635795000,1791.64,1792.71,1791.6,1792.53
1635795900,1792.53,1792.915,1791.52,1792.69
1635796800,1792.69,1793.68,1792.39,1793.47
1635797700,1793.47,1793.554,1793.326,1793.34
1635798600,1793.34,1793.59,1793.16,1793.32
1635799500,1793.32,1793.43,1792.875,1793.235
1635804000,1793.235,1793.37,1792.59,1792.865
1635804900,1792.865,1793.306,1792.5,1792.71
1635805800,1792.71,1792.71,1791.765,1791.765
1635806700,1791.765,1791.885,1791.68,1791.88
1635807600,1791.88,1791.99,1791.49,1791.716
1635808500,1791.716,1792.02,1791.49,1792.005
1635809400,1792.005,1792.79,1791.76,1792.445
1635810300,1792.445,1792.63,1791.735,1792.155
1635811200,1792.155,1792.655,1791.885,1792.115
1635812100,1792.115,1792.5,1791.606,1792.22
1635813000,1792.22,1792.71,1790.85,1791.59
1635813900,1791.59,1791.775,1790.805,1791.41
1635814800,1791.41,1791.425,1789.566,1789.91
1635815700,1789.91,1791.225,1789.525,1791.035
1635816600,1791.035,1791.385,1789.965,1791.16
1635817500,1791.16,1791.16,1789.534,1790.215
1635818400,1790.215,1790.275,1789.284,1790.035
1635819300,1790.035,1791.165,1790.035,1791.165
1635820200,1791.165,1792.11,1790.88,1792.075
1635821100,1792.075,1792.075,1790.5,1790.785
1635822000,1790.785,1791.39,1790.225,1791.02
1635822900,1791.02,1791.02,1790.244,1790.67
1635823800,1790.67,1791.77,1790.126,1790.725
1635824700,1790.725,1791.365,1790.585,1791.25
1635825600,1791.25,1793.16,1791.05,1792.65
1635826500,1792.65,1793.32,1792.65,1793.16
1635827400,1793.16,1794.486,1793.065,1794.226
1635828300,1794.226,1794.415,1793.745,1794.105
