time,open,high,low,close,Basis,Upper,Lower
1644188400,1807.77,1810.94,1807.77,1808.62,NaN,NaN,NaN
1644188700,1808.62,1808.8,1807.95,1808.65,NaN,NaN,NaN
1644189000,1808.65,1809.67,1808.62,1809.47,NaN,NaN,NaN
1644189300,1809.47,1809.86,1809.11,1809.14,NaN,NaN,NaN
1644189600,1809.14,1809.45,1809.04,1809.36,1809.048,1809.7553782575105,1808.3406217424895
1644189900,1809.36,1809.41,1808.97,1809.34,1809.1919999999998,1809.7743263709822,1808.6096736290174
1644190200,1809.34,1809.98,1809.33,1809.93,1809.4479999999999,1809.974938328489,1808.9210616715106
1644190500,1809.93,1810.09,1809.54,1809.68,1809.4900000000002,1810.049714208945,1808.9302857910554
1644190800,1809.68,1811.54,1809.63,1810.67,1809.7959999999998,1810.7730649942775,1808.818935005722
1644191100,1810.67,1810.72,1810.14,1810.25,1809.9739999999997,1810.89091657497,1809.0570834250293
1644191400,1810.25,1810.52,1810.01,1810.15,1810.136,1810.7985526401685,1809.4734473598314
1644191700,1810.15,1810.35,1809.98,1810.14,1810.1779999999999,1810.8088597337348,1809.547140266265
1644192000,1810.14,1811.2,1810.14,1811.16,1810.4739999999997,1811.2617664663012,1809.6862335336982
1644192300,1811.16,1812.3,1810.94,1811.63,1810.666,1811.8954128686287,1809.4365871313712
1644192600,1811.63,1812.7,1811.57,1812.4,1811.096,1812.839220009427,1809.352779990573
1644192900,1812.4,1812.71,1811.44,1811.6,1811.386,1812.865762143349,1809.906237856651
1644193200,1811.6,1812.65,1811.38,1812.63,1811.884,1812.9765639576449,1810.7914360423551
1644193500,1812.63,1812.89,1812.27,1812.48,1812.148,1813.0310311449591,1811.2649688550407
1644193800,1812.48,1812.74,1812.1,1812.23,1812.268,1812.9841452387316,1811.5518547612685
1644194100,1812.23,1812.87,1812.07,1812.87,1812.3619999999999,1813.2300460842198,1811.49395391578
1644194400,1812.87,1813.03,1812.33,1812.53,1812.548,1812.9641538199012,1812.1318461800988
1644194700,1812.53,1812.68,1812.23,1812.56,1812.534,1812.942822698253,1812.1251773017473
1644195000,1812.56,1812.97,1812.53,1812.59,1812.5559999999998,1812.9626644832892,1812.1493355167104
1644195300,1812.59,1813.55,1812.5,1813.21,1812.7519999999997,1813.2705209773396,1812.2334790226598
1644195600,1813.21,1815.4,1812.48,1814.36,1813.05,1814.4539373209439,1811.646062679056
1644195900,1814.36,1814.53,1810.51,1810.61,1812.6659999999997,1815.100702446554,1810.2312975534455
1644196200,1810.61,1812.08,1810.36,1811.91,1812.5359999999996,1815.0476560284446,1810.0243439715546
1644196500,1811.91,1812.42,1811.27,1811.58,1812.334,1814.95583447191,1809.71216552809
1644196800,1811.58,1811.8,1811.03,1811.07,1811.9059999999997,1814.514742226039,1809.2972577739604
1644197100,1811.07,1811.25,1809.86,1809.88,1811.0099999999998,1812.4453814834244,1809.5746185165751
1644197400,1809.88,1810.22,1808.83,1809.23,1810.734,1812.774180384469,1808.6938196155309
1644197700,1809.23,1810.75,1809.21,1810.52,1810.4559999999997,1812.124369264669,1808.7876307353304
1644198000,1810.52,1810.55,1809.24,1810.06,1810.1519999999996,1811.3883429957511,1808.915657004248
1644198300,1810.06,1810.23,1809.14,1809.41,1809.8199999999997,1810.7440779206315,1808.895922079368
1644198600,1809.41,1810.02,1809.31,1809.96,1809.836,1810.7664278575326,1808.9055721424675
1644198900,1809.96,1810.54,1809.88,1810.43,1810.0760000000002,1810.8657949065457,1809.2862050934548
1644199200,1810.43,1810.59,1809.89,1810.05,1809.982,1810.6387069347516,1809.3252930652484
1644199500,1810.05,1810.47,1809.91,1809.96,1809.962,1810.6140613470245,1809.3099386529755
