time,open,high,low,close,Volume,Volume MA
1577916000,0.67292,0.67316,0.67204,0.67302,105,NaN
1577919600,0.67302,0.67376,0.67292,0.67362,382,NaN
1577923200,0.67362,0.67394,0.67316,0.67335,546,NaN
1577926800,0.67335,0.67374,0.67282,0.67314,502,NaN
1577930400,0.67314,0.67328,0.67266,0.6729,338,NaN
1577934000,0.6729,0.67298,0.67218,0.67224,379,NaN
1577937600,0.67224,0.67248,0.67186,0.67199,254,NaN
1577941200,0.67199,0.67228,0.6714,0.67225,580,NaN
1577944800,0.67225,0.67235,0.67164,0.67189,330,NaN
1577948400,0.67189,0.67232,0.67174,0.67216,492,NaN
1577952000,0.67216,0.67252,0.67163,0.67208,572,NaN
1577955600,0.67208,0.6724,0.67076,0.67088,628,NaN
1577959200,0.67088,0.67106,0.67004,0.6706,447,NaN
1577962800,0.6706,0.67068,0.66848,0.66883,626,NaN
1577966400,0.66883,0.66964,0.66852,0.66947,659,NaN
1577970000,0.66947,0.67022,0.66928,0.67016,642,NaN
1577973600,0.67016,0.67078,0.66924,0.67056,899,NaN
1577977200,0.67056,0.67136,0.67011,0.67126,973,NaN
1577980800,0.67126,0.67138,0.66909,0.66918,479,NaN
1577984400,0.66918,0.66932,0.66848,0.66884,461,514.7
1577988000,0.66884,0.669,0.66857,0.6689,234,521.15
1577991600,0.6689,0.66946,0.66876,0.66936,269,515.5
1577995200,0.66936,0.66964,0.66907,0.66959,231,499.75
1577998800,0.66959,0.67009,0.66956,0.66986,100,479.65
1578002400,0.66986,0.67032,0.66972,0.66974,50,465.25
1578006000,0.66974,0.67008,0.6696,0.66984,270,459.8
1578009600,0.66984,0.6699,0.66922,0.66956,438,469
1578013200,0.66956,0.66978,0.66828,0.6683,706,475.3
1578016800,0.6683,0.66883,0.66798,0.6682,938,505.7
1578020400,0.6682,0.66822,0.66706,0.6676,714,516.8
1578024000,0.6676,0.66784,0.66687,0.667,328,504.6
1578027600,0.667,0.66727,0.66636,0.66686,652,505.8
1578031200,0.66686,0.66698,0.66634,0.66698,563,511.6
1578034800,0.66698,0.66728,0.66572,0.66639,931,526.85
1578038400,0.66639,0.66737,0.66602,0.66616,912,539.5
1578042000,0.66616,0.66634,0.66496,0.66496,705,542.65
1578045600,0.66496,0.66544,0.66443,0.66523,730,534.2
1578049200,0.66523,0.6654,0.66487,0.6653,526,511.85
1578052800,0.6653,0.66654,0.66504,0.66632,574,516.6
1578056400,0.66632,0.66703,0.66606,0.66608,578,522.45
1578060000,0.66608,0.66691,0.66594,0.66599,738,547.65
1578063600,0.66599,0.66748,0.66599,0.66682,1199,594.15
1578067200,0.66682,0.66738,0.66644,0.6672,399,602.55
1578070800,0.6672,0.66734,0.66691,0.66717,234,609.25
1578074400,0.66717,0.66717,0.66662,0.66674,227,618.1
1578078000,0.66674,0.66708,0.66631,0.66684,229,616.05
1578081600,0.66684,0.66702,0.66634,0.66656,156,601.95
1578085200,0.66656,0.66659,0.6663,0.6664,114,572.35
1578261600,0.6664,0.6664,0.6652,0.66544,117,531.3
1578265200,0.66544,0.66594,0.66526,0.66542,787,534.95
1578268800,0.66542,0.6666,0.6654,0.66644,684,552.75
1578272400,0.66644,0.66654,0.6655,0.66564,626,551.45
1578276000,0.66564,0.66618,0.66537,0.66539,496,548.1
1578279600,0.66539,0.66569,0.66508,0.66528,329,518
1578283200,0.66528,0.66545,0.6651,0.66531,264,485.6
1578286800,0.66531,0.66534,0.66492,0.66503,308,465.75
1578290400,0.66503,0.6651,0.66445,0.66476,384,448.45
1578294000,0.66476,0.6659,0.66476,0.6657,498,447.05
1578297600,0.6657,0.66652,0.6657,0.66626,578,447.25
1578301200,0.66626,0.6672,0.66626,0.66716,558,446.25
1578304800,0.66716,0.66768,0.66689,0.66751,388,428.75
1578308400,0.66751,0.66792,0.66739,0.66767,450,391.3
1578312000,0.66767,0.66802,0.66728,0.66733,416,392.15
1578315600,0.66733,0.66752,0.66668,0.66726,418,401.35
1578319200,0.66726,0.66736,0.66512,0.66525,603,420.15
1578322800,0.66525,0.66718,0.66525,0.66704,624,439.9
1578326400,0.66704,0.66706,0.6664,0.66664,452,454.7
1578330000,0.66664,0.66722,0.66656,0.66712,238,460.9
1578333600,0.66712,0.6672,0.6667,0.6667,135,461.8
1578337200,0.6667,0.66683,0.66614,0.66648,124,428.65
1578340800,0.66648,0.6672,0.66642,0.6672,102,399.55
1578344400,0.6672,0.66724,0.66685,0.66716,89,372.7
1578348000,0.66716,0.66716,0.6669,0.6669,36,349.7
1578351600,0.6669,0.66712,0.66661,0.66685,280,347.25
1578355200,0.66685,0.66711,0.66584,0.66636,507,359.4
1578358800,0.66636,0.66744,0.66636,0.66721,353,361.65
1578362400,0.66721,0.66736,0.66695,0.6671,192,352.05
1578366000,0.6671,0.66793,0.66698,0.66758,275,340.9
1578369600,0.66758,0.66776,0.66699,0.6671,295,326.75
1578373200,0.6671,0.66724,0.66594,0.66598,404,319.05
1578376800,0.66598,0.66632,0.6654,0.66553,862,342.75
1578380400,0.66553,0.66593,0.66478,0.66494,631,351.8
1578384000,0.66494,0.66688,0.66492,0.66626,689,365.45
1578387600,0.66626,0.66656,0.66462,0.66515,502,369.65
1578391200,0.66515,0.66524,0.664,0.66442,507,364.85
1578394800,0.66442,0.665,0.66418,0.66446,433,355.3
1578398400,0.66446,0.66508,0.66367,0.66386,500,357.7
1578402000,0.66386,0.66428,0.66322,0.6633,625,377.05
1578405600,0.6633,0.6634,0.66272,0.66306,621,401.35
1578409200,0.66306,0.66352,0.66252,0.66334,737,432
1578412800,0.66334,0.66344,0.66256,0.66274,376,445.7
1578416400,0.66274,0.66384,0.66266,0.66372,314,456.95
1578420000,0.66372,0.66424,0.6637,0.66401,163,463.3
1578423600,0.66401,0.6644,0.66374,0.66425,158,457.2
1578427200,0.66425,0.66428,0.66363,0.66391,135,438.6
1578430800,0.66391,0.66418,0.66352,0.66414,194,430.65
1578434400,0.66414,0.66426,0.66405,0.66416,48,423.45
1578438000,0.66416,0.66416,0.66259,0.66311,673,443.35
1578441600,0.66311,0.66348,0.66177,0.66286,1626,509.9
1578445200,0.66286,0.66398,0.66208,0.6633,1455,562.45
1578448800,0.6633,0.6652,0.66324,0.66476,1541,596.4
1578452400,0.66476,0.6651,0.66398,0.66442,984,614.05
1578456000,0.66442,0.66458,0.66388,0.66438,355,597.35
1578459600,0.66438,0.66461,0.66402,0.66415,215,583
1578463200,0.66415,0.6647,0.66408,0.66445,335,574.4
1578466800,0.66445,0.66714,0.66428,0.66704,894,597.45
1578470400,0.66704,0.66724,0.66572,0.66614,1001,622.5
1578474000,0.66614,0.66644,0.66552,0.6659,471,614.8
1578477600,0.6659,0.6659,0.66456,0.66476,608,614.15
1578481200,0.66476,0.66528,0.6646,0.66478,563,605.45
1578484800,0.66478,0.66491,0.66397,0.6641,703,621.8
1578488400,0.6641,0.66431,0.66343,0.66396,805,646.35
1578492000,0.66396,0.66431,0.6633,0.66356,549,665.65
1578495600,0.66356,0.66379,0.66302,0.66342,572,686.35
1578499200,0.66342,0.66442,0.66285,0.6641,935,726.35
1578502800,0.6641,0.66534,0.66408,0.66516,692,751.25
1578506400,0.66516,0.66596,0.66498,0.66536,199,758.8
1578510000,0.66536,0.66536,0.66488,0.6652,161,733.2
1578513600,0.6652,0.66526,0.66478,0.66488,268,665.3
1578517200,0.66488,0.66532,0.66471,0.66488,207,602.9
1578520800,0.66488,0.66502,0.66461,0.66473,84,530.05
1578524400,0.66473,0.66568,0.66462,0.66541,209,491.3
1578528000,0.66541,0.66576,0.66474,0.66486,556,501.35
1578531600,0.66486,0.66585,0.66438,0.66517,617,521.45
1578535200,0.66517,0.66517,0.66469,0.66488,369,523.15
1578538800,0.66488,0.66493,0.6646,0.66474,211,489
1578542400,0.66474,0.66488,0.66446,0.6647,213,449.6
1578546000,0.6647,0.66496,0.66466,0.66494,134,432.75
1578549600,0.66494,0.66514,0.66444,0.66504,278,416.25
1578553200,0.66504,0.6652,0.66445,0.6646,336,404.9
1578556800,0.6646,0.6647,0.66274,0.66307,610,400.25
1578560400,0.66307,0.66328,0.66178,0.66248,655,392.75
1578564000,0.66248,0.66278,0.66162,0.66261,525,391.55
1578567600,0.66261,0.6627,0.66116,0.66127,310,378.45
1578571200,0.66127,0.66217,0.66118,0.66149,506,357
1578574800,0.66149,0.66192,0.66106,0.66161,434,344.1
1578578400,0.66161,0.66161,0.66064,0.66074,400,354.15
1578582000,0.66074,0.66093,0.66032,0.66041,489,370.55
1578585600,0.66041,0.66084,0.66001,0.66074,375,375.9
1578589200,0.66074,0.66097,0.66052,0.66086,233,377.2
1578592800,0.66086,0.6615,0.66082,0.66116,199,382.95
1578596400,0.66116,0.66116,0.66074,0.66075,85,376.75
1578600000,0.66075,0.66133,0.66074,0.66106,147,356.3
1578603600,0.66106,0.66147,0.66096,0.6614,94,330.15
1578607200,0.6614,0.66146,0.6606,0.66095,200,321.7
1578610800,0.66095,0.6613,0.66064,0.66071,273,324.8
1578614400,0.66071,0.6611,0.66022,0.66062,801,354.2
1578618000,0.66062,0.66123,0.66018,0.66056,444,369.7
1578621600,0.66056,0.66141,0.66055,0.66139,285,370.05
1578625200,0.66139,0.66142,0.66118,0.66134,181,362.3
1578628800,0.66134,0.66198,0.66134,0.66166,250,344.3
1578632400,0.66166,0.66232,0.66146,0.66217,251,324.1
1578636000,0.66217,0.66272,0.66217,0.66247,280,311.85
1578639600,0.66247,0.66247,0.66184,0.66238,290,310.85
1578643200,0.66238,0.66256,0.6617,0.66173,494,310.25
1578646800,0.66173,0.66195,0.66142,0.66171,360,306.55
1578650400,0.66171,0.66171,0.66105,0.66163,283,300.7
1578654000,0.66163,0.66245,0.66146,0.66194,317,292.1
1578657600,0.66194,0.66194,0.66154,0.66154,358,291.25
1578661200,0.66154,0.66324,0.66115,0.66153,1155,337.35
1578664800,0.66153,0.66244,0.66144,0.66232,775,366.15
1578668400,0.66232,0.66414,0.66188,0.66391,794,401.6
1578672000,0.66391,0.664,0.66324,0.6638,514,419.95
1578675600,0.6638,0.66452,0.66342,0.66382,446,437.55
1578679200,0.66382,0.6639,0.66339,0.66374,152,435.15
1578682800,0.66374,0.66422,0.6636,0.6639,170,430
1578686400,0.6639,0.6641,0.6636,0.66392,125,396.2
1578690000,0.66392,0.66394,0.66332,0.66352,155,381.75
1578866400,0.66352,0.66419,0.66345,0.66352,101,372.55
1578870000,0.66352,0.66398,0.66346,0.6637,360,381.5
1578873600,0.6637,0.66386,0.66301,0.66378,325,385.25
1578877200,0.66378,0.66432,0.66372,0.66415,424,393.9
1578880800,0.66415,0.66422,0.66388,0.6641,347,397.25
1578884400,0.6641,0.66528,0.6641,0.66528,437,404.6
1578888000,0.66528,0.6653,0.66476,0.66476,133,386.55
1578891600,0.66476,0.66503,0.66466,0.66486,222,379.65
1578895200,0.66486,0.66488,0.66436,0.66462,210,376
1578898800,0.66462,0.66502,0.66424,0.66441,541,387.2
1578902400,0.66441,0.6648,0.66315,0.66334,643,401.45
1578906000,0.66334,0.6639,0.66319,0.6633,773,382.35
1578909600,0.6633,0.6633,0.66214,0.66257,444,365.8
1578913200,0.66257,0.66312,0.66255,0.66284,326,342.4
1578916800,0.66284,0.6635,0.66265,0.66291,422,337.8
1578920400,0.66291,0.66378,0.66285,0.66363,469,338.95
1578924000,0.66363,0.66408,0.66204,0.66234,759,369.3
1578927600,0.66234,0.6632,0.66231,0.66276,513,386.45
1578931200,0.66276,0.66383,0.66276,0.66341,436,402
1578934800,0.66341,0.66366,0.66312,0.66354,335,411
1578938400,0.66354,0.66412,0.66342,0.66344,150,413.45
1578942000,0.66344,0.66358,0.66316,0.66318,134,402.15
1578945600,0.66318,0.6635,0.66314,0.6634,101,390.95
1578949200,0.6634,0.66351,0.66293,0.66304,123,375.9
1578952800,0.66304,0.6633,0.66292,0.66292,66,361.85
1578956400,0.66292,0.663,0.66248,0.66248,289,354.45
1578960000,0.66248,0.66316,0.66248,0.66261,358,365.7
1578963600,0.66261,0.6627,0.66154,0.66216,697,389.45
1578967200,0.66216,0.66298,0.66216,0.66272,408,399.35
1578970800,0.66272,0.66288,0.6624,0.6626,307,387.65
1578974400,0.6626,0.66299,0.66248,0.66248,180,364.5
1578978000,0.66248,0.66271,0.66228,0.66239,259,338.8
1578981600,0.66239,0.66318,0.66237,0.66303,322,332.7
1578985200,0.66303,0.66321,0.66226,0.66321,503,341.55
1578988800,0.66321,0.66344,0.66216,0.6623,698,355.35
1578992400,0.6623,0.66256,0.66188,0.66225,453,354.55
1578996000,0.66225,0.66232,0.66154,0.66162,248,329
1578999600,0.66162,0.66239,0.66112,0.66232,412,323.95
1579003200,0.66232,0.66236,0.66122,0.66161,374,320.85
1579006800,0.66161,0.66161,0.66069,0.66138,807,344.45
1579010400,0.66138,0.66202,0.66104,0.66183,585,366.2
1579014000,0.66183,0.66211,0.66034,0.66074,535,386.25
1579017600,0.66074,0.66146,0.66057,0.66124,392,400.8
1579021200,0.66124,0.66168,0.66116,0.66165,210,405.15
1579024800,0.66165,0.66213,0.66122,0.66166,299,416.8
1579028400,0.66166,0.66202,0.66152,0.6618,164,410.55
1579032000,0.6618,0.66184,0.66101,0.6613,213,403.3
1579035600,0.6613,0.66156,0.66104,0.6615,141,375.5
1579039200,0.6615,0.66156,0.66102,0.66108,65,358.35
1579042800,0.66108,0.66144,0.66072,0.66072,194,352.7
1579046400,0.66072,0.66104,0.66052,0.66072,274,357.4
1579050000,0.66072,0.66112,0.6605,0.66096,287,358.8
1579053600,0.66096,0.66138,0.66057,0.66082,263,355.85
1579057200,0.66082,0.66117,0.6606,0.66074,251,343.25
1579060800,0.66074,0.66135,0.66074,0.66124,178,317.25
1579064400,0.66124,0.66156,0.66105,0.66136,165,302.85
1579068000,0.66136,0.66198,0.66108,0.66156,257,303.3
1579071600,0.66156,0.66164,0.66091,0.66144,321,298.75
1579075200,0.66144,0.66146,0.66041,0.66079,447,302.4
1579078800,0.66079,0.661,0.66042,0.6605,322,278.15
1579082400,0.6605,0.66117,0.66045,0.66117,210,259.4
1579086000,0.66117,0.66208,0.66108,0.66136,412,253.25
1579089600,0.66136,0.66163,0.66067,0.66074,325,249.9
1579093200,0.66074,0.66083,0.6584,0.65951,734,276.1
1579096800,0.65951,0.66096,0.65946,0.66006,577,290
1579100400,0.66006,0.66048,0.65966,0.6604,508,307.2
1579104000,0.6604,0.66196,0.66011,0.6617,579,325.5
1579107600,0.6617,0.66196,0.66138,0.66139,356,336.25
1579111200,0.66139,0.66168,0.66099,0.66116,167,341.35
1579114800,0.66116,0.6612,0.66072,0.6608,139,338.6
1579118400,0.6608,0.66144,0.66072,0.66132,256,337.7
1579122000,0.66132,0.6619,0.66113,0.66178,137,330.2
1579125600,0.66178,0.662,0.66178,0.66188,53,319.7
1579129200,0.66188,0.66192,0.66163,0.66189,126,313.45
1579132800,0.66189,0.6635,0.66182,0.6632,468,327.95
1579136400,0.6632,0.66363,0.66308,0.66342,468,343.1
1579140000,0.66342,0.66354,0.663,0.66346,202,340.35
1579143600,0.66346,0.6637,0.66312,0.66318,226,335.6
1579147200,0.66318,0.66361,0.66288,0.66339,205,323.5
1579150800,0.66339,0.66357,0.66299,0.66322,140,314.4
1579154400,0.66322,0.66327,0.66266,0.66288,279,317.85
1579158000,0.66288,0.66354,0.66268,0.66334,341,314.3
1579161600,0.66334,0.66445,0.66332,0.66406,566,326.35
1579165200,0.66406,0.66486,0.66376,0.66466,487,314
1579168800,0.66466,0.66533,0.66443,0.66486,294,299.85
1579172400,0.66486,0.66554,0.66474,0.66504,345,291.7
1579176000,0.66504,0.66566,0.66484,0.66564,408,283.15
1579179600,0.66564,0.66654,0.6653,0.6654,669,298.8
1579183200,0.6654,0.66622,0.66452,0.66456,779,329.4
1579186800,0.66456,0.66527,0.66345,0.6642,964,370.65
1579190400,0.6642,0.66425,0.66326,0.6638,528,384.25
1579194000,0.6638,0.66386,0.66302,0.66321,371,395.95
1579197600,0.66321,0.66333,0.6627,0.66314,238,405.2
1579201200,0.66314,0.66351,0.66299,0.66344,138,405.8
1579204800,0.66344,0.6641,0.66342,0.66405,162,390.5
1579208400,0.66405,0.66436,0.66318,0.66364,210,377.6
1579212000,0.66364,0.66392,0.66312,0.66329,78,371.4
1579215600,0.66329,0.66372,0.66318,0.66371,181,369.15
1579219200,0.66371,0.66401,0.66308,0.66358,279,372.85
1579222800,0.66358,0.66406,0.66323,0.66396,327,382.2
1579226400,0.66396,0.66496,0.66382,0.66411,468,391.65
1579230000,0.66411,0.66449,0.66411,0.66422,191,384.15
1579233600,0.66422,0.66432,0.6641,0.66414,96,360.65
1579237200,0.66414,0.6645,0.66412,0.6643,128,342.7
1579240800,0.6643,0.66454,0.66419,0.66448,150,335.5
1579244400,0.66448,0.66492,0.66442,0.66469,370,336.75
1579248000,0.66469,0.66506,0.66426,0.6645,341,333.4
1579251600,0.6645,0.66456,0.66332,0.66414,617,330.8
1579255200,0.66414,0.6643,0.66289,0.66307,360,309.85
1579258800,0.66307,0.66312,0.66218,0.663,449,284.1
1579262400,0.663,0.66305,0.66152,0.66193,453,280.35
1579266000,0.66193,0.66218,0.66174,0.66184,600,291.8
1579269600,0.66184,0.66248,0.66162,0.66194,519,305.85
1579273200,0.66194,0.66198,0.66086,0.66117,732,335.55
1579276800,0.66117,0.66134,0.66072,0.66096,391,347
1579280400,0.66096,0.66172,0.66096,0.66152,270,350
1579284000,0.66152,0.66174,0.66143,0.66158,102,351.2
1579287600,0.66158,0.6618,0.66136,0.66136,110,347.65
1579291200,0.66136,0.66162,0.66136,0.6614,105,338.95
1579294800,0.6614,0.66145,0.66102,0.66133,153,330.25
1579471200,0.66133,0.66158,0.66108,0.66128,48,309.25
1579474800,0.66128,0.66202,0.66088,0.66182,253,312.35
1579478400,0.66182,0.66204,0.66146,0.66146,148,314.95
1579482000,0.66146,0.6621,0.66146,0.66184,208,318.95
1579485600,0.66184,0.66198,0.66147,0.66157,158,319.35
1579489200,0.66157,0.66222,0.66157,0.6622,179,309.8
1579492800,0.6622,0.66226,0.66198,0.66213,86,297.05
1579496400,0.66213,0.66228,0.66196,0.66205,121,272.25
1579500000,0.66205,0.66236,0.662,0.66236,137,261.1
