time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA
1645999200,1.11184,1.11525,1.11184,1.11358,NaN,NaN,NaN,NaN,NaN,244,NaN
1645999500,1.11358,1.11506,1.11358,1.11465,NaN,NaN,NaN,NaN,NaN,1049,NaN
1645999800,1.11465,1.11538,1.1143,1.11492,NaN,NaN,NaN,NaN,NaN,585,NaN
1646000100,1.11492,1.11582,1.11492,1.11574,NaN,NaN,NaN,NaN,NaN,604,NaN
1646000400,1.11574,1.11574,1.11464,1.11472,NaN,NaN,NaN,NaN,1.114722,509,NaN
1646000700,1.11472,1.11512,1.11472,1.1148,NaN,NaN,NaN,NaN,1.114748,272,NaN
1646001000,1.1148,1.11505,1.11464,1.11489,NaN,NaN,NaN,NaN,1.1147953333333334,1036,NaN
1646001300,1.11489,1.11505,1.11481,1.11492,NaN,NaN,NaN,NaN,1.1148368888888889,536,NaN
1646001600,1.11492,1.11497,1.11453,1.11481,NaN,NaN,NaN,NaN,1.114827925925926,164,NaN
1646001900,1.11481,1.11576,1.1148,1.11521,NaN,NaN,NaN,NaN,1.1149552839506174,1823,NaN
1646002200,1.11521,1.1156,1.11513,1.11544,NaN,NaN,NaN,NaN,1.1151168559670783,782,NaN
1646002500,1.11544,1.11552,1.11453,1.11501,NaN,NaN,NaN,NaN,1.1150812373113856,507,NaN
1646002800,1.11501,1.11604,1.11489,1.11531,NaN,NaN,NaN,1.114923076923077,1.1151574915409237,1543,NaN
1646003100,1.11531,1.11614,1.11499,1.1158,NaN,NaN,NaN,1.1150483516483516,1.1153716610272824,2116,NaN
1646003400,1.1158,1.1161,1.11576,1.11601,NaN,NaN,NaN,1.1151857299843013,1.115584440684855,1327,NaN
1646003700,1.11601,1.1161699999999999,1.1157,1.11612,NaN,NaN,NaN,1.1153191971294012,1.11576296045657,1356,NaN
1646004000,1.11612,1.11738,1.11607,1.11721,NaN,NaN,NaN,1.115589311825201,1.1162453069710467,1983,NaN
1646004300,1.11721,1.11737,1.11631,1.11665,NaN,NaN,NaN,1.115740838707315,1.1163802046473645,1267,NaN
1646004600,1.11665,1.11794,1.11645,1.11745,NaN,NaN,NaN,1.11598500460627,1.116736803098243,1768,NaN
1646004900,1.11745,1.11879,1.11745,1.1183,NaN,NaN,NaN,1.1163157182339458,1.117257868732162,2096,1078.35
1646005200,1.1183,1.11855,1.11766,1.11799,NaN,NaN,1.1156919047619047,1.1165549013433822,1.117501912488108,1382,1135.25
1646005500,1.11799,1.1181,1.11777,1.11806,NaN,NaN,1.115907186147186,1.1167699154371848,1.1176879416587386,821,1123.85
1646005800,1.11806,1.11837,1.11796,1.11819,NaN,NaN,1.11611471467926,1.1169727846604443,1.117855294439159,828,1136
1646006100,1.11819,1.11836,1.11799,1.11803,NaN,NaN,1.1162888315266,1.117123815423238,1.117913529626106,953,1153.45
1646006400,1.11803,1.11935,1.11775,1.11881,NaN,NaN,1.1165180286605454,1.1173646989342039,1.1182123530840706,1983,1227.15
1646006700,1.11881,1.119,1.11826,1.11889,NaN,NaN,1.1167336624186777,1.1175825990864605,1.1184382353893805,1446,1285.85
1646007000,1.11889,1.11931,1.11847,1.11873,NaN,NaN,1.1169151476533434,1.1177465135026805,1.118535490259587,1359,1302
1646007300,1.11873,1.11882,1.11829,1.11863,NaN,NaN,1.1170710433212212,1.1178727258594405,1.1185669935063913,1357,1343.05
1646007600,1.11863,1.11887,1.11795,1.11808,NaN,NaN,1.1171627666556556,1.117902336450949,1.1184046623375943,1113,1390.5
1646007900,1.11808,1.11856,1.11808,1.11831,NaN,NaN,1.1172670605960506,1.1179605741008134,1.1183731082250628,779,1338.3
1646008200,1.11831,1.11886,1.1183,1.11883,NaN,NaN,1.1174091459964097,1.1180847778006973,1.118525405483375,839,1341.15
1646008500,1.11883,1.1190499999999999,1.11847,1.11847,NaN,NaN,1.1175055872694635,1.1181398095434547,1.1185069369889167,957,1363.65
1646008800,1.11847,1.11902,1.11837,1.11896,NaN,NaN,1.1176378066086032,1.1182569796086754,1.118657957992611,748,1323.9
1646009100,1.11896,1.11945,1.11873,1.11931,NaN,NaN,1.1177898241896393,1.1184074110931503,1.1188753053284073,972,1266.7
1646009400,1.11931,1.11935,1.1188,1.11912,NaN,NaN,1.1179107492633085,1.1185092095084146,1.118956870218938,1112,1255.95
1646009700,1.11912,1.11927,1.11797,1.11819,NaN,NaN,1.1179361356939168,1.1184636081500696,1.1187012468126254,1243,1250.3
1646010000,1.11819,1.1186,1.11745,1.11822,NaN,NaN,1.1179619415399245,1.118428806985774,1.1185408312084169,2183,1260.3
1646010300,1.11822,1.11852,1.11788,1.11794,NaN,NaN,1.1179599468544767,1.1183589774163776,1.1183405541389446,1224,1258.15
1646010600,1.11794,1.11819,1.11742,1.1179999999999999,NaN,NaN,1.1179635880495242,1.1183076949283237,1.1182270360926296,1919,1265.7
1646010900,1.1179999999999999,1.11846,1.11754,1.11809,NaN,NaN,1.117975080045022,1.1182765956528489,1.1181813573950865,2176,1269.7
1646011200,1.11809,1.11842,1.11735,1.11752,NaN,NaN,1.1179337091318382,1.1181685105595847,1.1179609049300576,1793,1290.25
1646011500,1.11752,1.11765,1.11676,1.11683,NaN,NaN,1.1178333719380347,1.1179772947653583,1.1175839366200384,1383,1318.35
1646011800,1.11683,1.11699,1.11649,1.11658,NaN,NaN,1.1177194290345769,1.11777768122745,1.1172492910800256,1305,1342.2
1646012100,1.11658,1.1167,1.11612,1.11614,NaN,NaN,1.117575844576888,1.1175437267663857,1.1168795273866836,1487,1368.9
1646012400,1.11614,1.11689,1.11593,1.11679,NaN,NaN,1.1175044041608073,1.117436051514045,1.1168496849244558,1222,1330.85
1646012700,1.11679,1.11716,1.11638,1.11714,NaN,NaN,1.117471276509825,1.11739375844061,1.1169464566163039,1464,1331.75
1646013000,1.11714,1.11745,1.11704,1.11712,NaN,NaN,1.117439342281659,1.1173546500919513,1.1170043044108693,1819,1354.75
1646013300,1.11712,1.11766,1.11708,1.11712,NaN,NaN,1.1174103111651446,1.117321128650244,1.117042869607246,1592,1366.5
1646013600,1.11712,1.1174,1.11689,1.11694,NaN,NaN,1.117367555604677,1.1172666817002093,1.1170085797381641,1132,1367.45
1646013900,1.11694,1.11702,1.11638,1.11638,NaN,1.116979,1.1172777778224336,1.1171400128858937,1.1167990531587761,988,1377.9
1646014200,1.11638,1.11659,1.1162,1.11621,NaN,1.116948843137255,1.1171807071113034,1.1170071539021946,1.1166027021058507,935,1382.7
1646014500,1.11621,1.11655,1.1162,1.11643,NaN,1.1169284963475588,1.1171124610102758,1.1169247033447383,1.1165451347372337,1047,1387.2
1646014800,1.11643,1.11699,1.11638,1.1168,NaN,1.1169234572751054,1.1170840554638872,1.1169068885812041,1.1166300898248225,874,1393.5
1646015100,1.1168,1.11684,1.11652,1.11662,NaN,1.1169115569898072,1.117041868603534,1.116865904498175,1.1166267265498817,771,1383.45
1646015400,1.11662,1.11663,1.11625,1.11647,NaN,1.1168942410294225,1.1169898805486673,1.1168093467127214,1.116574484366588,889,1372.3
1646015700,1.11647,1.11686,1.11641,1.11664,NaN,1.1168842707929745,1.116958073226061,1.1167851543251897,1.1165963229110587,798,1350.05
1646016000,1.11664,1.11671,1.11557,1.1156,NaN,1.1168339072324656,1.1168346120236918,1.1166158465644482,1.1162642152740392,1389,1310.35
1646016300,1.1156,1.11579,1.11465,1.11469,NaN,1.1167498324390355,1.1166396472942652,1.11634072562667,1.1157394768493594,1508,1324.55
1646016600,1.11469,1.1155599999999999,1.11459,1.11544,NaN,1.116698466461034,1.116530588449332,1.1162120505371458,1.1156396512329063,1364,1296.8
1646016900,1.11544,1.1158,1.11536,1.11574,NaN,1.1166608795409934,1.11645871677212,1.116144614746125,1.1156731008219376,1029,1239.45
1646017200,1.11574,1.11587,1.11557,1.11574,NaN,1.116624766617817,1.1163933788837455,1.1160868126395356,1.1156954005479585,795,1189.55
1646017500,1.11574,1.11596,1.11545,1.11547,NaN,1.1165794816524124,1.1163094353488594,1.1159986965481734,1.1156202670319724,893,1165.05
1646017800,1.11547,1.11552,1.11493,1.11494,NaN,1.1165151882542785,1.116184941226236,1.1158474541841485,1.1153935113546483,973,1148.45
1646018100,1.11494,1.1155,1.11492,1.11531,NaN,1.116467925969797,1.11610540111476,1.1157706750149845,1.1153656742364322,877,1117.95
1646018400,1.11531,1.1153899999999999,1.11519,1.11538,NaN,1.1164252622062756,1.1160394555588726,1.1157148642985582,1.1153704494909549,505,1082.1
1646018700,1.11538,1.11541,1.1149499999999999,1.11504,NaN,1.1163709381981863,1.1159485959626114,1.11561845511305,1.1152602996606367,626,1040.2
1646019000,1.11504,1.1155599999999999,1.11504,1.11546,NaN,1.1163352151315908,1.1159041781478285,1.1155958186683286,1.1153268664404243,673,982.9
1646019300,1.11546,1.11603,1.11546,1.11598,NaN,1.1163212851264304,1.1159110710434805,1.1156507017157102,1.1155445776269495,713,938.95
1646019600,1.11598,1.11608,1.11576,1.11592,NaN,1.1163055484548057,1.1159118827668004,1.1156891728991802,1.1156697184179662,636,914.15
1646019900,1.11592,1.11597,1.11575,1.11588,NaN,1.1162888602801073,1.1159089843334549,1.115716433913583,1.1157398122786442,647,897.1
1646020200,1.11588,1.11593,1.11552,1.11555,NaN,1.116259885367162,1.1158763493940498,1.115692657640214,1.1156765415190961,568,878.75
1646020500,1.11555,1.11566,1.11503,1.11509,NaN,1.116214007509626,1.1158048630854998,1.115606563691612,1.1154810276793974,619,857.35
1646020800,1.11509,1.11529,1.11508,1.11519,NaN,1.116173850352386,1.1157489664413633,1.1155470545928101,1.1153840184529316,502,838.75
1646021100,1.11519,1.1152199999999999,1.11486,1.11497,NaN,1.1161266405346453,1.1156781513103302,1.1154646182224086,1.1152460123019543,729,836.65
1646021400,1.11497,1.11501,1.11457,1.11459,NaN,1.116066380121522,1.1155792284639365,1.1153396727620646,1.1150273415346361,451,814.75
1646021700,1.11459,1.1148,1.11454,1.11479,NaN,1.1160163259991094,1.1155074804217604,1.1152611480817696,1.1149482276897573,454,797.55
1646022000,1.11479,1.11479,1.11444,1.11454,NaN,1.1159584308618895,1.1154195276561458,1.115158126927231,1.1148121517931715,455,750.85
1646022300,1.11454,1.11482,1.11453,1.1148,NaN,1.115913002200639,1.1153632069601325,1.1151069659376267,1.1148081011954476,488,699.85
1646022600,1.1148,1.1149,1.1147,1.11479,NaN,1.1158689628986531,1.1153110972364841,1.1150616850893944,1.1148020674636316,570,660.15
1646022900,1.11479,1.11492,1.11462,1.11485,NaN,1.1158290035692942,1.1152691793058946,1.1150314443623381,1.1148180449757543,598,638.6
1646023200,1.11485,1.11487,1.11472,1.11477,NaN,1.115787474017557,1.115223799368995,1.1149940951677184,1.1148020299838362,443,621
1646023500,1.11477,1.11481,1.11422,1.11426,NaN,1.1157275730756921,1.115136181244541,1.114889224429473,1.1146213533225575,782,615.45
1646023800,1.11426,1.11452,1.11422,1.11448,NaN,1.1156786486413512,1.1150765284041282,1.1148307637966912,1.1145742355483717,437,588.65
1646024100,1.11448,1.11465,1.11428,1.11459,NaN,1.115635956537769,1.1150322985492074,1.1147963689685925,1.114579490365581,619,575.75
1646024400,1.11459,1.11492,1.11459,1.11489,NaN,1.1156067033402093,1.1150193623174613,1.114809744830222,1.114682993577054,686,584.8
1646024700,1.11489,1.1149,1.11463,1.11488,NaN,1.115578205170005,1.115006693015874,1.1148197812830476,1.1147486623847027,610,584
1646025000,1.11488,1.1149499999999999,1.11477,1.11482,NaN,1.1155484716339263,1.1149897209235218,1.1148198125283264,1.1147724415898017,317,566.2
1646025300,1.11482,1.11518,1.1147799999999999,1.11481,NaN,1.1155195119620076,1.114973382657747,1.1148184107385655,1.114784961059868,575,559.3
1646025600,1.11481,1.11491,1.1146099999999999,1.11488,NaN,1.1154944330615366,1.1149648933252245,1.1148272092044846,1.1148166407065787,575,556.25
1646025900,1.11488,1.11489,1.11467,1.11484,NaN,1.1154687690199077,1.1149535393865677,1.1148290364609867,1.1148244271377192,437,545.75
1646026200,1.11484,1.11487,1.1146099999999999,1.11467,NaN,1.1154374447446171,1.114927763078698,1.11480631696656,1.114772951425146,379,536.3
1646026500,1.11467,1.11469,1.11453,1.11454,NaN,1.1154022508330634,1.1148925118897255,1.1147682716856229,1.1146953009500975,409,525.8
1646026800,1.11454,1.11496,1.11447,1.11496,NaN,1.1153849076631395,1.1148986471724778,1.1147956614448196,1.1147835339667316,490,525.2
